prefix,lat,lon
BBN,13.646,100.37
BKA,13.867,100.628
BKE,13.7105,100.3975
BKL,13.69867,100.506
BKM,13.808,100.65
BKN,13.7634,100.4728
BKP,13.771,100.6475
BKT,13.58,100.4145
BNA,13.672,100.616
BRK,13.728,100.5232
BSU,13.82,100.529
CTC,13.826,100.565
DDG,13.778,100.567
DST,13.7728,100.5154
HKG,13.77233,100.58067
JTG,13.69025,100.4655
KSN,13.7265,100.5025
KTY,13.71333,100.57867
LSI,13.877,100.572
MBR,13.808,100.7485
PKN,13.692,100.626
PNK,13.75642,100.49925
PPS,13.7512,100.5114
PTW,13.7405,100.53175
PWT,13.69533,100.66967
PYT,13.782,100.545
RTW,13.756,100.53875
SLG,13.726,100.628
SMI,13.905,100.652
SPW,13.738,100.50933
STN,13.714,100.529
WTL,13.779,100.609
WTN,13.73267,100.57733
