station_code,sensor_type,lat,lon,district,district_true,subdistrict_true
FL.BBN.01,flood,13.646,100.37,Bang Bon,Bang Bon,Bang Bon
FL.BBN.02,flood,13.646,100.37,Bang Bon,Bang Bon,Bang Bon
FL.BKA.01,flood,13.867,100.628,Bang Khen,Bang Khen,Tha Raeng
FL.BKA.02,flood,13.867,100.628,Bang Khen,Bang Khen,Tha Raeng
FL.BKE.01,flood,13.7105,100.3975,Bang Khae,Bang Khae,Bang Khae Nuea
FL.BKE.02,flood,13.7105,100.3975,Bang Khae,Bang Khae,Bang Khae Nuea
FL.BKL.01,flood,13.69867,100.506,Bang Kho Laem,Bang Kho Laem,Bang Kho Laem
FL.BKM.01,flood,13.808,100.65,Bueng Kum,Bueng Kum,Khlong Kum
FL.BKM.02,flood,13.808,100.65,Bueng Kum,Bueng Kum,Khlong Kum
FL.BKN.01,flood,13.7634,100.4728,Bangkok Noi,Bangkok Noi,Bang Khun Non
FL.BKN.02,flood,13.7634,100.4728,Bangkok Noi,Bangkok Noi,Bang Khun Non
FL.BKP.01,flood,13.771,100.6475,Bang Kapi,Bang Kapi,Khlong Chan
FL.BKP.02,flood,13.771,100.6475,Bang Kapi,Bang Kapi,Khlong Chan
FL.BKT.01,flood,13.58,100.4145,Bang Khun Thian,Bang Khun Thian,Tha Kham
FL.BNA.01,flood,13.672,100.616,Bang Na,Bang Na,Bang Na
FL.BNA.02,flood,13.672,100.616,Bang Na,Bang Na,Bang Na
FL.BNA.03,flood,13.672,100.616,Bang Na,Bang Na,Bang Na
FL.BNA.04,flood,13.672,100.616,Bang Na,Bang Na,Bang Na
FL.BNA.05,flood,13.672,100.616,Bang Na,Bang Na,Bang Na
FL.BRK.01,flood,13.728,100.5232,Bang Rak,Bang Rak,Si Phraya
FL.BRK.02,flood,13.728,100.5232,Bang Rak,Bang Rak,Si Phraya
FL.BSU.01,flood,13.82,100.529,Bang Sue,Bang Sue,Bang Sue
FL.CTC.01,flood,13.826,100.565,Chatuchak,Chatuchak,Chatuchak
FL.CTC.02,flood,13.826,100.565,Chatuchak,Chatuchak,Chatuchak
FL.CTC.03,flood,13.826,100.565,Chatuchak,Chatuchak,Chatuchak
FL.CTC.04,flood,13.826,100.565,Chatuchak,Chatuchak,Chatuchak
