station_code,sensor_type,name_thai,name_english,district,lat,lon,confidence,basis
FL.BBN.01,flood,ถ.เอกชัย ช่วงห้างบิ๊กซีบางบอน,,Bang Bon,13.646,100.37,High,"District identified from rain-network station name 'สำนักงานเขตบางบอน' sharing prefix BBN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BBN.02,flood,ถ.เอกชัย ซอย 60,,Bang Bon,13.646,100.37,High,"District identified from rain-network station name 'สำนักงานเขตบางบอน' sharing prefix BBN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKA.01,flood,ถ.พหลโยธิน ช่วงวงเวียนบางเขน,,Bang Khen,13.867,100.628,High,"District identified from rain-network station name 'สำนักงานเขตบางเขน' sharing prefix BKA; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKA.02,flood,ถ.พหลโยธิน ช่วงซอยพหลโยธิน 55/1,,Bang Khen,13.867,100.628,High,"District identified from rain-network station name 'สำนักงานเขตบางเขน' sharing prefix BKA; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKE.01,flood,ถ.เพชรเกษม แยกวงแหวนกาญจนาภิเษก,,Bang Khae,13.7105,100.3975,High,"District identified from rain-network station name 'สำนักงานเขตบางแค' sharing prefix BKE; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKE.02,flood,ถ.เพชรเกษม ช่วงซอยวัดม่วง,,Bang Khae,13.7105,100.3975,High,"District identified from rain-network station name 'สำนักงานเขตบางแค' sharing prefix BKE; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKL.01,flood,ถ.เจริญกรุง ช่วงวัดราชสิงขร,,Bang Kho Laem,13.69867,100.506,High,"District identified from rain-network station name 'สำนักงานเขตบางคอแหลม' sharing prefix BKL; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKM.01,flood,ถ.นวมินทร์ ช่วงซอย 46 (สันติอโศก),,Bueng Kum,13.808,100.65,High,"District identified from rain-network station name 'สำนักงานเขตบึงกุ่ม' sharing prefix BKM; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKM.02,flood,ถ.นวมินทร์ ช่วงซอย 135,,Bueng Kum,13.808,100.65,High,"District identified from rain-network station name 'สำนักงานเขตบึงกุ่ม' sharing prefix BKM; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKN.01,flood,ถ.อิสรภาพ ช่วงตลาดพรานนก,,Bangkok Noi,13.7634,100.4728,High,"District identified from rain-network station name 'สำนักงานเขตบางกอกน้อย' sharing prefix BKN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
