fold,test_year,model,target,horizon_h,n_rows,positives,alarms,tp,fp,fn,tn,precision,recall,f1,f2,false_negative_rate,false_positive_rate,specificity,alarms_per_hit,csi,pr_auc,roc_auc,base_rate,brier
1,2022,persistence,ge5,1,3469685,7181,4564,3966,598,3215,3461906,0.869,0.5523,0.6754,0.5957,0.4477,0.000173,0.9998,1.15,0.5098,0.4809,0.7761,0.00207,0.001099
1,2022,climatology,ge5,1,3469685,7181,17164,0,17164,7181,3445340,0.0,0.0,0.0,0.0,1.0,0.004957,0.995,0.0,0.0,0.0045,0.7026,0.00207,0.002067
1,2022,persistence,ge5,3,3469685,13251,4564,3986,578,9265,3455856,0.8734,0.3008,0.4475,0.3462,0.6992,0.000167,0.9998,1.15,0.2882,0.2654,0.6503,0.003819,0.002837
1,2022,climatology,ge5,3,3469685,13251,17664,160,17504,13091,3438930,0.0091,0.0121,0.0104,0.0113,0.9879,0.005064,0.9949,110.4,0.0052,0.0084,0.6983,0.003819,0.003808
1,2022,persistence,ge5,6,3469685,22143,4564,3993,571,18150,3446971,0.8749,0.1803,0.299,0.2144,0.8197,0.000166,0.9998,1.14,0.1758,0.163,0.5901,0.006382,0.005396
1,2022,climatology,ge5,6,3469685,22143,17664,256,17408,21887,3430134,0.0145,0.0116,0.0129,0.012,0.9884,0.005049,0.995,69.0,0.0065,0.0137,0.6949,0.006382,0.006351
1,2022,persistence,ge15,1,3469685,2374,1591,1403,188,971,3467123,0.8818,0.591,0.7077,0.6327,0.409,5.4e-05,0.9999,1.13,0.5476,0.5214,0.7955,0.000684,0.000334
1,2022,climatology,ge15,1,3469685,2374,17376,0,17376,2374,3449935,0.0,0.0,0.0,0.0,1.0,0.005011,0.995,0.0,0.0,0.0025,0.7751,0.000684,0.000683
1,2022,persistence,ge15,3,3469685,4217,1591,1407,184,2810,3465284,0.8843,0.3336,0.4845,0.3811,0.6664,5.3e-05,0.9999,1.13,0.3197,0.2959,0.6668,0.001215,0.000863
1,2022,climatology,ge15,3,3469685,4217,17376,0,17376,4217,3448092,0.0,0.0,0.0,0.0,1.0,0.005014,0.995,0.0,0.0,0.0043,0.7636,0.001215,0.001213
1,2022,persistence,ge15,6,3469685,6932,1591,1409,182,5523,3462571,0.8856,0.2033,0.3306,0.2403,0.7967,5.3e-05,0.9999,1.13,0.1981,0.1816,0.6016,0.001998,0.001644
