station_code,tier_cm,start,end,peak_depth_cm,peak_time,duration_minutes,n_readings,year
FL.BBN.01,15.0,2019-04-26 10:30:00,2019-04-26 10:35:00,29.5,2019-04-26 10:30:00,10.0,2,2019
FL.BKE.02,15.0,2019-06-24 06:00:00,2019-06-24 08:10:00,35.8,2019-06-24 06:45:00,135.0,27,2019
FL.BKE.02,15.0,2019-06-24 21:55:00,2019-06-24 22:40:00,26.5,2019-06-24 22:25:00,50.0,10,2019
FL.BKM.01,15.0,2019-06-30 21:50:00,2019-07-01 07:00:00,33.2,2019-07-01 00:35:00,555.0,111,2019
FL.BKN.01,15.0,2019-06-07 14:40:00,2019-06-07 16:30:00,27.1,2019-06-07 15:35:00,115.0,23,2019
FL.BKN.01,15.0,2019-07-15 17:45:00,2019-07-15 18:50:00,25.7,2019-07-15 18:05:00,70.0,14,2019
FL.BKN.01,15.0,2019-09-14 18:20:00,2019-09-14 18:35:00,17.2,2019-09-14 18:25:00,20.0,4,2019
FL.BKN.02,15.0,2019-06-07 14:50:00,2019-06-07 16:50:00,21.2,2019-06-07 14:55:00,125.0,25,2019
FL.BNA.02,15.0,2019-09-19 20:50:00,2019-09-20 00:15:00,29.0,2019-09-19 21:45:00,210.0,42,2019
FL.BNA.02,15.0,2019-09-20 02:00:00,2019-09-20 03:55:00,33.2,2019-09-20 03:05:00,120.0,24,2019
FL.BNA.03,15.0,2019-01-09 19:30:00,2019-01-09 19:45:00,35.3,2019-01-09 19:35:00,20.0,4,2019
FL.BNA.03,15.0,2019-06-24 22:50:00,2019-06-24 23:15:00,21.5,2019-06-24 23:00:00,30.0,6,2019
FL.BNA.03,15.0,2019-10-05 12:10:00,2019-10-05 14:00:00,50.3,2019-10-05 12:45:00,115.0,23,2019
FL.BNA.04,15.0,2019-10-05 12:10:00,2019-10-05 13:00:00,24.1,2019-10-05 12:35:00,55.0,11,2019
FL.BRK.01,15.0,2019-06-07 15:10:00,2019-06-07 15:35:00,21.9,2019-06-07 15:15:00,30.0,6,2019
FL.BRK.01,15.0,2019-09-14 18:25:00,2019-09-14 18:55:00,21.6,2019-09-14 18:40:00,35.0,7,2019
FL.CTC.01,15.0,2019-06-07 14:45:00,2019-06-07 15:15:00,19.1,2019-06-07 14:45:00,35.0,7,2019
FL.CTC.01,15.0,2019-09-16 00:30:00,2019-09-16 01:05:00,18.3,2019-09-16 00:45:00,40.0,8,2019
FL.CTC.01,15.0,2019-11-03 21:05:00,2019-11-03 22:40:00,25.7,2019-11-03 21:50:00,100.0,20,2019
FL.CTC.02,15.0,2019-06-07 14:35:00,2019-06-07 17:30:00,44.0,2019-06-07 15:15:00,180.0,36,2019
FL.CTC.02,15.0,2019-09-16 00:10:00,2019-09-16 01:30:00,33.1,2019-09-16 00:30:00,85.0,17,2019
FL.CTC.03,15.0,2019-10-12 14:20:00,2019-10-12 14:30:00,23.5,2019-10-12 14:25:00,15.0,3,2019
FL.CTC.03,15.0,2019-11-03 20:55:00,2019-11-03 22:45:00,35.4,2019-11-03 21:25:00,115.0,23,2019
FL.CTC.04,15.0,2019-06-12 08:00:00,2019-06-12 08:55:00,21.9,2019-06-12 08:15:00,60.0,12,2019
FL.CTC.04,15.0,2019-06-13 08:10:00,2019-06-13 08:30:00,21.9,2019-06-13 08:30:00,25.0,5,2019
FL.CTC.04,15.0,2019-09-16 00:15:00,2019-09-16 01:25:00,21.3,2019-09-16 00:35:00,75.0,15,2019
FL.CTC.04,15.0,2019-11-03 21:00:00,2019-11-03 21:45:00,25.6,2019-11-03 21:30:00,50.0,10,2019
FL.CTC.05,15.0,2019-06-07 14:40:00,2019-06-07 18:30:00,33.6,2019-06-07 15:15:00,235.0,47,2019
FL.CTC.05,15.0,2019-11-15 22:15:00,2019-11-15 22:30:00,36.6,2019-11-15 22:20:00,20.0,4,2019
FL.CTC.05,15.0,2019-11-16 21:35:00,2019-11-17 04:15:00,63.6,2019-11-16 22:55:00,405.0,81,2019
FL.CTC.05,15.0,2019-11-21 22:35:00,2019-11-21 22:40:00,16.3,2019-11-21 22:40:00,10.0,2,2019
FL.CTC.05,15.0,2019-11-24 14:30:00,2019-11-24 21:30:00,51.3,2019-11-24 14:30:00,425.0,85,2019
FL.CTC.05,15.0,2019-12-27 16:15:00,2019-12-29 10:55:00,148.8,2019-12-29 10:50:00,2565.0,513,2019
FL.CTC.06,15.0,2019-06-10 14:20:00,2019-06-10 14:30:00,27.2,2019-06-10 14:20:00,15.0,3,2019
FL.CTC.07,15.0,2019-06-07 14:40:00,2019-06-07 14:55:00,19.7,2019-06-07 14:50:00,20.0,4,2019
FL.CTC.07,15.0,2019-09-14 17:30:00,2019-09-14 17:40:00,18.5,2019-09-14 17:35:00,15.0,3,2019
FL.CTC.07,15.0,2019-11-03 21:05:00,2019-11-03 21:50:00,24.9,2019-11-03 21:25:00,50.0,10,2019
FL.DDG.02,15.0,2019-06-07 14:30:00,2019-06-07 17:40:00,34.5,2019-06-07 15:20:00,195.0,39,2019
FL.DDG.02,15.0,2019-09-14 18:05:00,2019-09-14 18:10:00,16.1,2019-09-14 18:05:00,10.0,2,2019
