fold,test_year,model,target,horizon_h,threshold,constraints_met,n_rows,positives,alarms,tp,fp,fn,tn,precision,recall,f1,f2,false_negative_rate,false_positive_rate,specificity,alarms_per_hit,csi,pr_auc,roc_auc,base_rate,brier,onset_recall,onset_positives,ongoing_recall
1,2022,lightgbm,ge5,1,0.86663,True,3469685,7181,5826,4100,1726,3081,3460778,0.7037,0.571,0.6304,0.5933,0.429,0.000498,0.9995,1.42,0.4603,0.5336,0.9364,0.00207,0.003164,0.0417,3215,1.0
1,2022,lightgbm,ge5,3,0.90093,False,3469685,13251,8930,4285,4645,8966,3451789,0.4798,0.3234,0.3864,0.3459,0.6766,0.001344,0.9987,2.08,0.2394,0.3174,0.8752,0.003819,0.01327,0.0323,9265,1.0
1,2022,lightgbm,ge5,6,0.80665,False,3469685,22143,24392,5002,19390,17141,3428152,0.2051,0.2259,0.215,0.2214,0.7741,0.005624,0.9944,4.88,0.1204,0.2102,0.833,0.006382,0.019482,0.0556,18150,1.0
1,2022,lightgbm,ge15,1,0.1643,True,3469685,2374,2223,1571,652,803,3466659,0.7067,0.6618,0.6835,0.6703,0.3382,0.000188,0.9998,1.42,0.5192,0.6246,0.9605,0.000684,0.000359,0.173,971,1.0
1,2022,lightgbm,ge15,3,0.80591,False,3469685,4217,2634,1626,1008,2591,3464460,0.6173,0.3856,0.4747,0.4169,0.6144,0.000291,0.9997,1.62,0.3112,0.3664,0.9058,0.001215,0.001491,0.0779,2810,1.0
1,2022,lightgbm,ge15,6,0.56615,False,3469685,6932,2552,1602,950,5330,3461803,0.6277,0.2311,0.3378,0.2645,0.7689,0.000274,0.9997,1.59,0.2032,0.2316,0.862,0.001998,0.001789,0.0349,5523,1.0
1,2022,lightgbm,ge30,1,1.0,False,3469685,362,281,239,42,123,3469281,0.8505,0.6602,0.7434,0.6912,0.3398,1.2e-05,1.0,1.18,0.5916,0.5804,0.9714,0.000104,0.00958,0.0,123,1.0
1,2022,lightgbm,ge30,3,0.99999,False,3469685,599,504,290,214,309,3468872,0.5754,0.4841,0.5258,0.5,0.5159,6.2e-05,0.9999,1.74,0.3567,0.4085,0.8965,0.000173,0.013011,0.132,356,1.0
1,2022,lightgbm,ge30,6,0.42871,False,3469685,935,634,297,337,638,3468413,0.4685,0.3176,0.3786,0.3395,0.6824,9.7e-05,0.9999,2.13,0.2335,0.2874,0.8542,0.000269,0.000251,0.078,692,1.0
2,2023,lightgbm,ge5,1,0.97754,True,3370379,2879,1904,1374,530,1505,3366970,0.7216,0.4772,0.5745,0.5119,0.5228,0.000157,0.9998,1.39,0.4031,0.4447,0.9529,0.000854,0.007861,0.0322,1555,1.0
