tier_cm,persistence_readings,merge_gap_minutes,events,median_minutes
5,1,0,3749,35.0
5,1,15,3395,40.0
5,1,30,3254,45.0
5,1,60,3173,45.0
5,1,120,3121,45.0
5,1,180,3088,50.0
5,2,0,3749,35.0
5,2,15,3403,40.0
5,2,30,3246,40.0
5,2,60,3135,45.0
5,2,120,3067,45.0
5,2,180,3033,45.0
5,3,0,3075,45.0
5,3,15,2890,45.0
5,3,30,2792,50.0
5,3,60,2719,50.0
5,3,120,2675,50.0
5,3,180,2649,50.0
5,4,0,2673,50.0
5,4,15,2567,50.0
5,4,30,2502,55.0
5,4,60,2447,55.0
5,4,120,2409,55.0
5,4,180,2388,55.0
5,6,0,2114,60.0
5,6,15,2057,65.0
5,6,30,2027,65.0
5,6,60,1997,65.0
5,6,120,1976,65.0
5,6,180,1957,65.0
15,1,0,999,35.0
15,1,15,898,45.0
15,1,30,867,50.0
15,1,60,859,50.0
15,1,120,853,50.0
15,1,180,848,50.0
15,2,0,999,35.0
15,2,15,885,45.0
15,2,30,851,45.0
15,2,60,837,45.0
15,2,120,827,45.0
15,2,180,823,50.0
15,3,0,841,45.0
15,3,15,782,50.0
15,3,30,765,50.0
15,3,60,754,55.0
15,3,120,745,55.0
15,3,180,742,55.0
15,4,0,740,55.0
15,4,15,706,57.5
15,4,30,694,60.0
15,4,60,684,60.0
15,4,120,674,60.0
15,4,180,672,60.0
15,6,0,597,65.0
15,6,15,579,65.0
15,6,30,573,70.0
15,6,60,569,70.0
15,6,120,563,70.0
15,6,180,560,70.0
30,1,0,179,30.0
30,1,15,154,52.5
30,1,30,147,65.0
30,1,60,145,70.0
30,1,120,144,70.0
30,1,180,143,70.0
30,2,0,179,30.0
30,2,15,145,45.0
30,2,30,136,62.5
30,2,60,132,65.0
30,2,120,132,65.0
30,2,180,130,65.0
30,3,0,137,50.0
30,3,15,123,60.0
30,3,30,115,65.0
30,3,60,114,65.0
30,3,120,113,70.0
30,3,180,111,75.0
30,4,0,115,65.0
30,4,15,107,65.0
30,4,30,104,72.5
30,4,60,103,80.0
30,4,120,102,80.0
30,4,180,102,80.0
30,6,0,93,80.0
30,6,15,90,85.0
30,6,30,90,85.0
30,6,60,88,85.0
30,6,120,88,85.0
30,6,180,88,85.0
