station_code,tier_cm,started_at,ended_at,duration_minutes,n_readings,peak_depth_cm,n_excursions_merged,year
FL.SPW.01,5.0,2019-01-02 20:50:00,2019-01-02 21:30:00,45,9,11.3,1,2019
FL.KTY.04,5.0,2019-01-04 11:40:00,2019-01-04 11:50:00,15,3,28.9,1,2019
FL.KTY.03,5.0,2019-01-08 12:00:00,2019-01-08 12:05:00,10,2,31.0,1,2019
FL.BNA.03,5.0,2019-01-09 19:30:00,2019-01-09 19:45:00,20,4,35.3,1,2019
FL.STN.02,5.0,2019-01-15 07:35:00,2019-01-15 08:15:00,45,9,12.2,1,2019
FL.STN.03,5.0,2019-01-15 07:35:00,2019-01-15 08:20:00,50,9,10.7,2,2019
FL.BRK.02,5.0,2019-01-23 09:45:00,2019-01-23 15:00:00,320,64,11.4,1,2019
FL.SLG.01,5.0,2019-01-27 18:45:00,2019-01-27 18:50:00,10,2,5.7,1,2019
FL.BRK.02,5.0,2019-01-28 10:45:00,2019-01-28 11:50:00,70,13,7.9,2,2019
FL.SMI.01,5.0,2019-01-28 14:45:00,2019-01-28 14:50:00,10,2,6.2,1,2019
FL.WTN.01,5.0,2019-02-04 11:10:00,2019-02-04 11:25:00,20,4,29.5,1,2019
FL.DST.03,5.0,2019-02-22 13:25:00,2019-02-22 15:05:00,105,21,7.0,1,2019
FL.DST.03,5.0,2019-02-23 10:00:00,2019-02-23 16:35:00,400,80,13.0,1,2019
FL.DST.03,5.0,2019-02-24 10:30:00,2019-02-24 16:00:00,335,67,12.1,1,2019
FL.DST.03,5.0,2019-02-25 10:20:00,2019-02-25 15:40:00,325,65,9.4,1,2019
FL.DST.03,5.0,2019-02-26 11:55:00,2019-02-26 15:25:00,215,39,12.2,3,2019
FL.DST.03,5.0,2019-02-27 11:25:00,2019-02-27 16:00:00,280,56,11.7,1,2019
FL.DST.03,5.0,2019-02-28 10:15:00,2019-02-28 15:45:00,335,65,11.9,2,2019
FL.DST.03,5.0,2019-03-01 10:15:00,2019-03-01 16:15:00,365,70,10.7,2,2019
FL.DST.03,5.0,2019-03-02 10:25:00,2019-03-02 16:05:00,345,69,11.4,1,2019
FL.DST.03,5.0,2019-03-03 10:05:00,2019-03-03 15:55:00,355,71,9.4,1,2019
FL.DST.03,5.0,2019-03-04 10:35:00,2019-03-04 16:10:00,340,65,9.8,2,2019
FL.DST.03,5.0,2019-03-05 10:55:00,2019-03-05 15:20:00,270,54,8.7,1,2019
FL.DST.03,5.0,2019-03-06 10:15:00,2019-03-06 15:35:00,325,65,10.1,1,2019
FL.DST.03,5.0,2019-03-07 11:00:00,2019-03-07 12:00:00,65,9,5.7,2,2019
FL.DST.03,5.0,2019-03-08 11:55:00,2019-03-08 12:00:00,10,2,5.7,1,2019
FL.RTW.07,5.0,2019-03-08 12:25:00,2019-03-08 12:30:00,10,2,24.9,1,2019
FL.DST.03,5.0,2019-03-08 14:35:00,2019-03-08 14:40:00,10,2,5.1,1,2019
FL.SLG.01,5.0,2019-03-09 17:20:00,2019-03-09 17:30:00,15,3,9.9,1,2019
FL.DST.03,5.0,2019-03-11 10:40:00,2019-03-11 13:05:00,150,21,7.0,4,2019
FL.SLG.01,5.0,2019-03-11 17:20:00,2019-03-11 17:25:00,10,2,8.9,1,2019
FL.DST.03,5.0,2019-03-12 10:55:00,2019-03-12 13:30:00,160,28,8.7,2,2019
FL.SLG.01,5.0,2019-03-13 07:30:00,2019-03-13 07:35:00,10,2,5.5,1,2019
FL.DST.03,5.0,2019-03-13 12:00:00,2019-03-13 12:10:00,15,3,5.7,1,2019
FL.SLG.01,5.0,2019-03-14 16:55:00,2019-03-14 17:20:00,30,6,7.9,1,2019
FL.DST.03,5.0,2019-03-15 11:55:00,2019-03-15 12:00:00,10,2,5.2,1,2019
FL.BKP.02,5.0,2019-03-16 06:05:00,2019-03-16 06:10:00,10,2,8.0,1,2019
FL.SLG.01,5.0,2019-03-16 06:10:00,2019-03-16 11:35:00,330,56,12.0,3,2019
FL.DST.03,5.0,2019-03-17 11:25:00,2019-03-17 12:15:00,55,11,6.2,1,2019
FL.SLG.01,5.0,2019-03-18 16:55:00,2019-03-18 17:40:00,50,10,13.0,1,2019
FL.SLG.01,5.0,2019-03-19 16:25:00,2019-03-19 17:45:00,85,17,13.5,1,2019
FL.DST.03,5.0,2019-03-20 11:25:00,2019-03-20 11:30:00,10,2,5.2,1,2019
FL.DST.03,5.0,2019-03-21 11:20:00,2019-03-21 12:10:00,55,7,6.1,2,2019
FL.DST.03,5.0,2019-03-21 14:00:00,2019-03-21 14:55:00,60,5,5.7,2,2019
FL.DST.03,5.0,2019-03-22 10:45:00,2019-03-22 12:35:00,115,23,8.4,1,2019
FL.DST.03,5.0,2019-03-23 10:10:00,2019-03-23 14:50:00,285,40,8.4,3,2019
FL.DST.03,5.0,2019-03-24 10:35:00,2019-03-24 11:55:00,85,13,7.0,3,2019
FL.DST.03,5.0,2019-03-28 10:30:00,2019-03-28 12:00:00,95,15,7.0,4,2019
FL.STN.01,5.0,2019-03-29 14:45:00,2019-03-29 14:55:00,15,3,7.0,1,2019
FL.DST.03,5.0,2019-03-30 11:15:00,2019-03-30 11:25:00,15,3,6.1,1,2019
FL.DST.03,5.0,2019-03-31 11:25:00,2019-03-31 11:30:00,10,2,5.2,1,2019
FL.SLG.01,5.0,2019-04-01 20:40:00,2019-04-01 21:30:00,55,10,16.1,2,2019
FL.DST.03,5.0,2019-04-02 10:15:00,2019-04-02 11:50:00,100,11,7.8,2,2019
FL.BNA.03,5.0,2019-04-03 02:15:00,2019-04-03 02:35:00,25,5,7.8,1,2019
FL.DST.03,5.0,2019-04-03 11:35:00,2019-04-03 11:40:00,10,2,5.2,1,2019
FL.DST.03,5.0,2019-04-04 11:30:00,2019-04-04 12:10:00,45,9,6.8,1,2019
FL.DST.03,5.0,2019-04-05 14:50:00,2019-04-05 14:55:00,10,2,5.4,1,2019
FL.LSI.02,5.0,2019-04-07 22:15:00,2019-04-07 22:35:00,25,5,10.7,1,2019
FL.LSI.04,5.0,2019-04-07 23:05:00,2019-04-07 23:15:00,15,3,8.0,1,2019
FL.PPS.01,5.0,2019-04-07 23:30:00,2019-04-07 23:45:00,20,4,5.7,1,2019
FL.SPW.01,5.0,2019-04-07 23:30:00,2019-04-07 23:55:00,30,6,5.5,1,2019
FL.BKE.01,5.0,2019-04-07 23:35:00,2019-04-08 00:35:00,65,13,11.4,1,2019
FL.LSI.06,5.0,2019-04-08 09:05:00,2019-04-08 21:10:00,730,146,56.5,1,2019
FL.DST.03,5.0,2019-04-08 11:30:00,2019-04-08 12:00:00,35,7,6.7,1,2019
FL.DST.03,5.0,2019-04-08 13:50:00,2019-04-08 14:15:00,30,5,6.0,2,2019
FL.LSI.06,5.0,2019-04-09 07:15:00,2019-04-09 09:45:00,155,31,33.4,1,2019
FL.BNA.03,5.0,2019-04-23 00:15:00,2019-04-23 01:05:00,55,11,9.0,1,2019
FL.SLG.03,5.0,2019-04-23 00:15:00,2019-04-23 00:45:00,35,7,16.6,1,2019
FL.PPS.01,5.0,2019-04-23 00:30:00,2019-04-23 01:40:00,75,15,6.3,1,2019
FL.RTW.01,5.0,2019-04-23 00:35:00,2019-04-23 01:25:00,55,11,14.2,1,2019
