station_code,started_at,ended_at,n_readings,peak_depth_cm,tier_cm
FL.BBN.01,2019-04-26 10:30:00,2019-04-26 10:35:00,2,29.5,5.0
FL.BBN.01,2019-06-24 21:30:00,2019-06-24 22:35:00,14,12.3,5.0
FL.BBN.01,2019-09-08 16:35:00,2019-09-08 16:45:00,3,10.7,5.0
FL.BBN.01,2019-09-09 14:35:00,2019-09-09 15:00:00,6,12.9,5.0
FL.BBN.01,2019-09-18 21:15:00,2019-09-18 21:15:00,1,6.4,5.0
FL.BBN.01,2019-09-19 18:25:00,2019-09-19 19:15:00,11,16.2,5.0
FL.BBN.01,2019-09-21 12:10:00,2019-09-21 12:55:00,10,14.7,5.0
FL.BBN.01,2020-02-01 15:35:00,2020-02-01 15:45:00,3,8.1,5.0
FL.BBN.01,2020-05-26 03:35:00,2020-05-26 03:35:00,1,21.4,5.0
FL.BBN.01,2020-05-31 00:35:00,2020-05-31 00:55:00,5,8.6,5.0
FL.BBN.01,2020-05-31 01:55:00,2020-05-31 02:20:00,6,8.1,5.0
FL.BBN.01,2020-08-22 18:50:00,2020-08-22 18:50:00,1,5.1,5.0
FL.BBN.01,2020-09-01 05:15:00,2020-09-01 07:05:00,23,21.1,5.0
FL.BBN.01,2020-09-02 19:10:00,2020-09-02 19:35:00,6,10.6,5.0
FL.BBN.01,2020-09-15 00:30:00,2020-09-15 01:05:00,8,10.7,5.0
FL.BBN.01,2020-09-27 20:55:00,2020-09-27 21:25:00,7,16.7,5.0
FL.BBN.01,2020-09-28 21:10:00,2020-09-28 23:10:00,25,19.7,5.0
FL.BBN.01,2020-10-03 23:50:00,2020-10-04 00:35:00,10,15.7,5.0
FL.BBN.01,2020-10-06 15:40:00,2020-10-06 16:20:00,9,19.7,5.0
FL.BBN.01,2020-10-12 21:10:00,2020-10-12 21:30:00,5,10.4,5.0
FL.BBN.01,2020-10-16 02:05:00,2020-10-16 02:25:00,5,14.3,5.0
FL.BBN.01,2020-10-16 14:40:00,2020-10-16 14:45:00,2,7.7,5.0
FL.BBN.01,2020-11-04 19:30:00,2020-11-04 19:30:00,1,9.4,5.0
FL.BBN.01,2020-11-04 20:05:00,2020-11-04 20:05:00,1,5.3,5.0
FL.BBN.01,2020-11-04 20:25:00,2020-11-04 20:25:00,1,5.3,5.0
FL.BBN.01,2020-11-21 11:20:00,2020-11-21 12:30:00,15,15.9,5.0
FL.BBN.01,2021-05-03 14:00:00,2021-05-03 14:15:00,4,7.9,5.0
FL.BBN.01,2021-06-13 17:35:00,2021-06-13 18:25:00,11,15.0,5.0
FL.BBN.01,2021-06-20 19:25:00,2021-06-20 19:35:00,3,8.2,5.0
FL.BBN.01,2021-06-20 20:00:00,2021-06-20 20:25:00,6,9.8,5.0
FL.BBN.01,2021-06-28 17:15:00,2021-06-28 17:35:00,5,8.4,5.0
FL.BBN.01,2021-07-14 08:25:00,2021-07-14 10:20:00,24,21.0,5.0
FL.BBN.01,2021-07-28 13:50:00,2021-07-28 14:10:00,5,15.9,5.0
FL.BBN.01,2021-07-28 15:15:00,2021-07-28 15:15:00,1,9.7,5.0
FL.BBN.01,2021-08-30 09:40:00,2021-08-30 09:45:00,2,11.9,5.0
FL.BBN.01,2021-09-08 03:00:00,2021-09-08 03:45:00,10,17.2,5.0
FL.BBN.01,2021-09-19 15:50:00,2021-09-19 16:50:00,13,22.5,5.0
FL.BBN.01,2021-09-20 19:50:00,2021-09-20 20:15:00,6,11.1,5.0
FL.BBN.01,2021-09-22 18:10:00,2021-09-22 18:25:00,4,10.9,5.0
FL.BBN.01,2021-10-02 15:15:00,2021-10-02 15:15:00,1,5.0,5.0
FL.BBN.01,2021-10-03 21:40:00,2021-10-03 22:15:00,8,17.8,5.0
FL.BBN.01,2021-10-07 14:20:00,2021-10-07 15:00:00,9,19.6,5.0
FL.BBN.01,2021-10-22 13:55:00,2021-10-22 14:20:00,6,12.1,5.0
FL.BBN.01,2021-10-31 16:45:00,2021-10-31 16:55:00,3,7.5,5.0
FL.BBN.01,2021-11-01 17:05:00,2021-11-01 17:15:00,3,5.8,5.0
FL.BBN.01,2021-11-01 17:25:00,2021-11-01 17:45:00,5,10.2,5.0
FL.BBN.01,2021-11-02 16:55:00,2021-11-02 17:15:00,5,11.4,5.0
FL.BBN.01,2022-02-04 18:40:00,2022-02-04 19:10:00,7,14.7,5.0
FL.BBN.01,2022-04-28 21:50:00,2022-04-28 22:25:00,8,13.8,5.0
FL.BBN.01,2022-05-07 13:05:00,2022-05-07 13:10:00,2,6.5,5.0
FL.BBN.01,2022-05-28 15:50:00,2022-05-28 15:50:00,1,7.7,5.0
FL.BBN.01,2022-05-28 17:35:00,2022-05-28 18:25:00,11,17.5,5.0
FL.BBN.01,2022-06-19 19:10:00,2022-06-19 20:00:00,11,18.8,5.0
FL.BBN.01,2022-06-24 20:55:00,2022-06-24 22:40:00,22,21.3,5.0
FL.BBN.01,2022-06-28 17:30:00,2022-06-28 18:35:00,14,20.3,5.0
FL.BBN.01,2022-07-20 20:50:00,2022-07-20 21:20:00,7,14.9,5.0
FL.BBN.01,2022-07-20 22:30:00,2022-07-20 23:35:00,14,20.8,5.0
FL.BBN.01,2022-09-21 18:20:00,2022-09-21 18:40:00,5,8.0,5.0
FL.BBN.01,2022-09-21 18:55:00,2022-09-21 19:00:00,2,7.2,5.0
FL.BBN.01,2022-09-21 20:50:00,2022-09-21 20:50:00,1,6.0,5.0
FL.BBN.01,2022-09-24 23:10:00,2022-09-24 23:10:00,1,5.0,5.0
FL.BBN.01,2022-10-01 23:00:00,2022-10-01 23:00:00,1,5.1,5.0
FL.BBN.01,2022-10-03 14:55:00,2022-10-03 15:30:00,8,15.5,5.0
FL.BBN.01,2022-10-09 18:35:00,2022-10-09 18:45:00,3,8.7,5.0
FL.BBN.01,2022-11-16 14:50:00,2022-11-16 15:15:00,6,10.2,5.0
FL.BBN.01,2022-11-19 16:30:00,2022-11-19 16:35:00,2,9.2,5.0
FL.BBN.01,2022-11-19 16:50:00,2022-11-19 16:55:00,2,9.8,5.0
FL.BBN.01,2022-11-23 17:40:00,2022-11-23 17:40:00,1,5.3,5.0
FL.BBN.01,2023-09-26 20:00:00,2023-09-26 20:15:00,4,12.6,5.0
FL.BBN.01,2023-10-16 16:55:00,2023-10-16 17:50:00,12,17.0,5.0
FL.BBN.01,2023-10-21 19:15:00,2023-10-21 19:45:00,7,13.1,5.0
FL.BBN.01,2023-10-23 15:45:00,2023-10-23 15:50:00,2,6.5,5.0
FL.BBN.01,2023-10-24 13:05:00,2023-10-24 13:10:00,2,8.5,5.0
FL.BBN.01,2023-11-10 18:00:00,2023-11-10 19:00:00,13,6.4,5.0
FL.BBN.01,2023-11-10 19:20:00,2023-11-10 19:55:00,8,5.3,5.0
FL.BBN.01,2023-11-10 20:10:00,2023-11-10 20:10:00,1,5.0,5.0
FL.BBN.01,2023-11-10 21:10:00,2023-11-10 21:40:00,7,5.3,5.0
FL.BBN.01,2023-11-10 22:55:00,2023-11-10 23:30:00,8,5.1,5.0
FL.BBN.01,2023-11-11 00:45:00,2023-11-11 01:00:00,4,5.1,5.0
FL.BBN.01,2023-11-11 19:20:00,2023-11-11 19:20:00,1,5.7,5.0
FL.BBN.01,2024-02-10 13:15:00,2024-02-10 13:15:00,1,6.3,5.0
