station_code,events,total_minutes,deepest_cm,first,last,station_name
FL.SMI.01,48,2610,51.5,2019-07-25 12:50:00,2025-11-02 21:10:00,ถ.พหลโยธิน ช่วงซอยพหลโยธิน 60/1
FL.PWT.02,38,6335,43.2,2019-05-29 07:15:00,2025-10-04 12:50:00,ถ.เฉลิมพระเกียรติ ร.9 ช่วงแยกศรีอุดม
FL.DDG.02,32,2600,34.7,2019-06-07 14:30:00,2025-11-13 02:00:00,ถ.ประชาสงเคราะห์ ตลาดห้วยขวาง
FL.SLG.03,31,3390,40.3,2019-04-23 00:20:00,2025-11-02 22:10:00,"""ถ.พัฒนาการ ช่วงธนาคารกรุงไทย """
FL.DDG.01,29,1150,29.9,2020-09-23 15:40:00,2025-11-13 02:00:00,ถ.รัชดาภิเษก ช่วงแยกเทียมร่วมมิตร
FL.BKM.01,27,2795,39.4,2019-06-30 21:50:00,2025-11-13 01:45:00,ถ.นวมินทร์ ช่วงซอย 46 (สันติอโศก)
FL.RTW.10,25,980,44.6,2019-06-07 14:40:00,2025-11-13 02:25:00,ถ.ศรีอยุธยา ช่วงโรงเรียนศรีอยุธยา
FL.STN.03,24,2165,44.2,2019-09-14 18:35:00,2025-11-13 02:45:00,ถ.สาธุประดิษฐ์ ซอย 2
FL.LSI.04,22,1375,36.1,2019-04-26 14:25:00,2025-05-10 17:50:00,ถ.แจ้งวัฒนะขาเข้า (โลตัส)
FL.PYT.02,22,3190,46.6,2019-06-07 14:35:00,2025-11-13 02:10:00,ถ.พหลโยธิน ช่วงสะพานควาย
FL.RTW.09,22,1155,29.7,2021-08-12 00:40:00,2025-11-13 02:20:00,ถ.บรรทัดทอง ช่วงถนนเพชรบุรี
FL.BNA.04,21,1060,32.5,2019-10-05 12:10:00,2025-11-03 20:55:00,ถ.สุขุมวิท ช่วงแบริ่ง
FL.CTC.07,20,2070,51.4,2019-06-07 14:40:00,2025-11-13 01:55:00,ซ.เสนานิคม
FL.LSI.03,18,3990,73.3,2019-09-17 18:35:00,2024-10-03 18:05:00,ถ.แจ้งวัฒนะ หน้าศาลปกครองกลาง
FL.BBN.01,18,585,29.5,2019-04-26 10:30:00,2025-10-06 00:40:00,ถ.เอกชัย ช่วงห้างบิ๊กซีบางบอน
FL.STN.02,18,1680,44.9,2019-09-14 18:35:00,2024-10-13 16:25:00,ถ.เซนต์หลุยส์ 3
FL.CTC.03,17,1625,46.5,2019-10-12 14:20:00,2025-11-13 02:10:00,ถ.พหลโยธิน ช่วงแยกเกษตร
FL.CTC.04,17,1320,36.9,2019-06-12 08:00:00,2025-11-13 02:20:00,ถ.เทศบาลสงเคราะห์ ช่วงตลาดประชานิเวศน์
FL.BNA.03,17,2090,50.9,2019-01-09 19:30:00,2025-09-27 18:50:00,ถ.สุขุมวิท ช่วงแยกบางนา
FL.DDG.06,17,2115,48.9,2019-05-22 11:35:00,2023-05-30 19:20:00,ถ.ประชาสุข ซ.อินทามระ 53
FL.BKN.01,16,810,27.1,2019-06-07 14:40:00,2025-11-13 03:00:00,ถ.อิสรภาพ ช่วงตลาดพรานนก
FL.BRK.01,14,620,33.2,2019-06-07 15:10:00,2024-10-29 22:40:00,ถ.สุรวงศ์ ช่วงทางด่วน
FL.CTC.01,14,2055,47.1,2019-06-07 14:45:00,2025-11-02 22:55:00,ถ.รัชดาภิเษก ช่วงแยกลาดพร้าว (หน้าธนาคารกรุงเทพ)
FL.HKG.01,12,1035,36.0,2019-06-06 10:15:00,2025-11-13 02:40:00,ถ.เพชรบุรีตัดใหม่ ช่วงสิงห์คอมเพล็กซ์
FL.STN.04,12,740,30.0,2019-09-14 18:30:00,2024-10-02 01:20:00,ถ.สวนพลู ช่วงตลาดสวนพลู
FL.PYT.06,11,805,30.4,2019-06-07 14:45:00,2025-11-13 02:15:00,ถ.ประดิพัทธ์ ช่วงสะพานควาย
FL.BKP.02,11,635,32.7,2021-04-25 05:55:00,2023-07-22 00:20:00,ถ.ศรีนครินทร์ หน้าบริษัทกรีนสปอร์ต
FL.RTW.08,11,625,37.0,2020-07-24 06:40:00,2025-11-13 02:10:00,ถ.นิคมมักกะสัน แยกราชปรารภ
FL.BKM.02,11,660,30.0,2020-06-24 10:20:00,2025-05-21 10:20:00,ถ.นวมินทร์ ช่วงซอย 135
FL.DDG.07,10,1250,46.1,2019-06-07 15:05:00,2025-11-13 02:35:00,ถ.วิภาวดี(ขาออก) ช่วงกรมทหารราบที่ 1
FL.DDG.05,9,555,26.9,2019-06-07 15:00:00,2025-09-05 18:50:00,ถ.รัชดาภิเษก สถานฑูตจีน
FL.BKE.01,9,315,19.9,2020-10-16 13:55:00,2024-03-20 08:15:00,ถ.เพชรเกษม แยกวงแหวนกาญจนาภิเษก
FL.KTY.04,9,1190,34.1,2019-01-04 11:40:00,2023-09-26 18:15:00,ถ.พระราม 4 ช่วงกล้วยน้ำไท
FL.CTC.05,9,3905,148.8,2019-06-07 14:40:00,2025-11-13 02:20:00,ถ.พหลโยธิน หน้ากรมการขนส่งทางบก
FL.SLG.01,8,965,30.6,2022-07-20 21:15:00,2024-12-15 13:05:00,ถ.พัฒนาการ แยกศรีนครินทร์
FL.RTW.05,7,205,29.6,2021-05-19 19:05:00,2025-11-13 02:50:00,ถ.พระรามที่ 6 ช่วงตลาดประแจจีน
FL.SLG.02,7,535,29.3,2019-04-23 11:10:00,2023-07-22 00:35:00,ถ.รามคำแหง ซอย 3
FL.STN.01,7,430,45.4,2020-11-21 12:40:00,2025-09-04 20:10:00,ถ.จันทน์ ซอย 28/2
FL.PYT.05,7,375,25.0,2021-07-01 22:45:00,2025-11-13 02:15:00,ถ.พหลโยธิน ช่วงซอยสายลม
FL.WTN.01,7,460,61.5,2019-02-04 11:10:00,2025-02-08 13:50:00,ซ.สุขุมวิท 39 (ซอยพร้อมพงษ์)
FL.PTW.05,7,400,34.4,2019-06-07 15:20:00,2025-11-13 02:35:00,ถ.ราชดำริ หน้าโรงพยาบาลตำรวจ
FL.LSI.02,7,370,23.5,2021-10-14 16:10:00,2025-11-13 02:15:00,ถ.งามวงศ์วาน แยกพงษ์เพชร
FL.DDG.08,7,205,29.4,2019-06-07 15:15:00,2024-10-29 23:10:00,ถ.ดินแดง ช่วงโรงเรียนพิบูลประชาสรรค์
