dataset,year,rows,bytes,source_file,source_bytes,config_version,built_at,seconds,mb,src_gib,shrink_x,range_flagged_total,range_flagged
flood,2019,10406880,28181642,2019.csv,1176822721,3.0.0,2026-08-08T03:23:10+05:30,0.0,28.2,1.1,41.8,0,"{""flood"": 0}"
flood,2020,10435392,28330990,2020.csv,1180049964,3.0.0,2026-08-08T03:23:12+05:30,0.0,28.3,1.1,41.7,0,"{""flood"": 0}"
flood,2021,10593504,28629289,2021.csv,1203509530,3.0.0,2026-08-08T03:23:15+05:30,0.0,28.6,1.12,42.0,0,"{""flood"": 0}"
flood,2022,10722240,29011275,2022.csv,1221395168,3.0.0,2026-08-08T03:23:18+05:30,0.0,29.0,1.14,42.1,0,"{""flood"": 0}"
flood,2023,11247840,30396621,2023.csv,1291278131,3.0.0,2026-08-08T03:23:21+05:30,0.0,30.4,1.2,42.5,0,"{""flood"": 0}"
flood,2024,11278656,30521542,2024.csv,1294598161,3.0.0,2026-08-08T03:23:24+05:30,0.0,30.5,1.21,42.4,0,"{""flood"": 0}"
flood,2025,11247840,30416707,2025.csv,1291343729,3.0.0,2026-08-08T03:23:27+05:30,0.0,30.4,1.2,42.5,0,"{""flood"": 0}"
flow,2019,3153600,12668519,2019.csv,431848749,3.0.0,2026-08-08T03:23:28+05:30,0.0,12.7,0.4,34.1,1256,"{""mean_velocity"": 1256}"
flow,2020,3162240,13852983,2020.csv,433455569,3.0.0,2026-08-08T03:23:29+05:30,0.0,13.9,0.4,31.3,41,"{""mean_velocity"": 41}"
flow,2021,3153600,13468992,2021.csv,432135893,3.0.0,2026-08-08T03:23:31+05:30,0.0,13.5,0.4,32.1,18,"{""mean_velocity"": 18}"
flow,2022,3153600,14037143,2022.csv,431817522,3.0.0,2026-08-08T03:23:32+05:30,0.0,14.0,0.4,30.8,1596,"{""mean_velocity"": 1596}"
flow,2023,3153600,13985683,2023.csv,431846009,3.0.0,2026-08-08T03:23:34+05:30,0.0,14.0,0.4,30.9,96,"{""mean_velocity"": 96}"
flow,2024,3162240,13900596,2024.csv,432827481,3.0.0,2026-08-08T03:23:35+05:30,0.0,13.9,0.4,31.1,0,"{""mean_velocity"": 0}"
flow,2025,3153600,13245425,2025.csv,430912969,3.0.0,2026-08-08T03:23:37+05:30,0.0,13.2,0.4,32.5,0,"{""mean_velocity"": 0}"
rain,2019,13665600,39549680,2019.csv,1936060372,3.0.0,2026-08-08T03:38:32+05:30,0.0,39.5,1.8,49.0,0,"{""rf5min"": 0, ""rf15min"": 0, ""rf30min"": 0, ""rf1hr"": 0, ""rf3hr"": 0, ""rf6hr"": 0, ""rf12hr"": 0, ""rf24hr"": 0}"
