dataset,year,rows,stations,duplicate_timestamps,ts_min,ts_max,filename,size_gib,size_gb
flood,2019,10406880,99,0,2019-01-01,2019-12-31 23:55:00,2019.csv,1.096,1.177
flood,2020,10435392,99,0,2020-01-01,2020-12-31 23:55:00,2020.csv,1.099,1.18
flood,2021,10593504,102,0,2021-01-01,2021-12-31 23:55:00,2021.csv,1.121,1.204
flood,2022,10722240,102,0,2022-01-01,2022-12-31 23:55:00,2022.csv,1.138,1.221
flood,2023,11247840,107,0,2023-01-01,2023-12-31 23:55:00,2023.csv,1.203,1.291
flood,2024,11278656,107,0,2024-01-01,2024-12-31 23:55:00,2024.csv,1.206,1.295
flood,2025,11247840,107,0,2025-01-01,2025-12-31 23:55:00,2025.csv,1.203,1.291
flow,2019,3153600,30,0,2019-01-01,2019-12-31 23:55:00,2019.csv,0.402,0.432
flow,2020,3162240,30,0,2020-01-01,2020-12-31 23:55:00,2020.csv,0.404,0.433
flow,2021,3153600,30,0,2021-01-01,2021-12-31 23:55:00,2021.csv,0.402,0.432
flow,2022,3153600,30,0,2022-01-01,2022-12-31 23:55:00,2022.csv,0.402,0.432
flow,2023,3153600,30,0,2023-01-01,2023-12-31 23:55:00,2023.csv,0.402,0.432
flow,2024,3162240,30,0,2024-01-01,2024-12-31 23:55:00,2024.csv,0.403,0.433
flow,2025,3153600,30,0,2025-01-01,2025-12-31 23:55:00,2025.csv,0.401,0.431
rain,2019,13665600,130,0,2019-01-01,2019-12-31 23:55:00,2019.csv,1.803,1.936
rain,2020,13703040,130,0,2020-01-01,2020-12-31 23:55:00,2020.csv,1.809,1.942
rain,2021,13665600,130,0,2021-01-01,2021-12-31 23:55:00,Rain 2021.csv,1.805,1.938
rain,2022,13770433,131,0,2022-01-01,2022-12-31 23:55:00,Rain 2022.csv,1.823,1.958
rain,2023,13770433,131,0,2023-01-01,2023-12-31 23:55:00,Rain 2023.csv,1.822,1.956
rain,2024,13808161,131,0,2024-01-01,2024-12-31 23:55:00,Rain 2024.csv,1.827,1.962
rain,2025,13770433,131,0,2025-01-01,2025-12-31 23:55:00,Rain 2025.csv,1.824,1.958
water,2019,26805600,255,0,2019-01-01,2019-12-31 23:55:00,2019.csv,3.686,3.958
water,2020,26879040,255,0,2020-01-01,2020-12-31 23:55:00,2020.csv,3.696,3.969
water,2021,26805600,255,0,2021-01-01,2021-12-31 23:55:00,2021.csv,3.687,3.958
water,2022,27541440,262,0,2022-01-01,2022-12-31 23:55:00,2022.csv,3.789,4.069
water,2023,27856800,265,0,2023-01-01,2023-12-31 23:55:00,2023.csv,3.841,4.124
water,2024,31306176,297,0,2024-01-01,2024-12-31 23:55:00,2024.csv,4.392,4.716
water,2025,31536000,300,0,2025-01-01,2025-12-31 23:55:00,2025.csv,4.423,4.749
