dataset,year,station_code,rows,n_timestamps,ts_min,ts_max,duplicate_timestamps
flood,2019,FL.BKM.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKN.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKP.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BNA.03,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.CTC.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DDG.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DDG.04,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DDG.05,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DST.05,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PTW.03,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PYT.07,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.RTW.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.RTW.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.RTW.07,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.SPW.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.WTL.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.CTC.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.CTC.06,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DDG.06,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DST.03,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.LSI.06,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.RTW.08,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.SPW.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BBN.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.STN.04,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.WTN.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKA.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKM.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BNA.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BNA.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BRK.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.CTC.07,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DDG.07,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DST.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
