dataset,year,stations,null_pct,stations_over_50pct_null
flood,2019,99.0,0.0,0.0
flood,2020,99.0,0.03,0.0
flood,2021,102.0,1.89,3.0
flood,2022,102.0,2.92,2.0
flood,2023,107.0,10.11,12.0
flood,2024,107.0,8.2,7.0
flood,2025,107.0,10.7,11.0
flow,2019,30.0,5.04,0.0
flow,2020,30.0,3.44,0.0
flow,2021,30.0,6.63,2.0
flow,2022,30.0,5.55,1.0
flow,2023,30.0,7.92,1.0
flow,2024,30.0,11.22,3.0
flow,2025,30.0,15.93,5.0
rain,2019,130.0,0.0,0.0
rain,2020,130.0,0.08,0.0
rain,2021,130.0,1.05,1.0
rain,2022,131.0,2.41,3.0
rain,2023,131.0,2.51,3.0
rain,2024,131.0,1.97,2.0
rain,2025,131.0,3.43,5.0
water,2019,255.0,4.86,2.0
water,2020,255.0,0.86,1.0
water,2021,255.0,1.77,4.0
water,2022,262.0,4.9,13.0
water,2023,265.0,5.24,13.0
water,2024,297.0,11.65,44.0
water,2025,300.0,9.02,26.0
