dataset,year,station_code,station_name,rows,expected_rows,row_completeness_pct,n_timestamps,duplicate_timestamps,ts_min,ts_max,primary_column,null_pct,sensor_effectively_offline
flood,2019,FL.BBN.01,ถ.เอกชัย ช่วงห้างบิ๊กซีบางบอน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BBN.02,ถ.เอกชัย ซอย 60,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKA.01,ถ.พหลโยธิน ช่วงวงเวียนบางเขน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKE.01,ถ.เพชรเกษม แยกวงแหวนกาญจนาภิเษก,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKE.02,ถ.เพชรเกษม ช่วงซอยวัดม่วง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKL.01,ถ.เจริญกรุง ช่วงวัดราชสิงขร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKM.01,ถ.นวมินทร์ ช่วงซอย 46 (สันติอโศก),105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKM.02,ถ.นวมินทร์ ช่วงซอย 135,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKN.01,ถ.อิสรภาพ ช่วงตลาดพรานนก,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKN.02,ถ.บรมราชชนนี ช่วงสายใต้,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKP.01,ถ.ลาดพร้าว แม็คโคร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BKP.02,ถ.ศรีนครินทร์ หน้าบริษัทกรีนสปอร์ต,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BNA.01,ถ.สุขุมวิท ช่วงกรมอุตุนิยมวิทยา,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BNA.02,ถ.ศรีนครินทร์ ช่วงวัดศรีเอี่ยม,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BNA.03,ถ.สุขุมวิท ช่วงแยกบางนา,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BNA.04,ถ.สุขุมวิท ช่วงแบริ่ง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BRK.01,ถ.สุรวงศ์ ช่วงทางด่วน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BRK.02,ถ.สีลม ช่วงถนนคอนแวนต์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.BSU.01,ถ.ประชาราษฏร์ แยกเตาปูน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.CTC.01,ถ.รัชดาภิเษก ช่วงแยกลาดพร้าว (หน้าธนาคารกรุงเทพ),105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.CTC.02,ถ.กำแพงเพชร 3,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.CTC.03,ถ.พหลโยธิน ช่วงแยกเกษตร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.CTC.04,ถ.เทศบาลสงเคราะห์ ช่วงตลาดประชานิเวศน์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.CTC.05,ถ.พหลโยธิน หน้ากรมการขนส่งทางบก,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.CTC.06,ถ.งามวงศ์วาน ช่วงแยกเกษตร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.CTC.07,ซ.เสนานิคม,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.01,ถ.รัชดาภิเษก ช่วงแยกเทียมร่วมมิตร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.02,ถ.ประชาสงเคราะห์ ตลาดห้วยขวาง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.03,ถ.ดินแดง ซอยสุทธิพร 2,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.04,ถ.รัชดาภิเษก ช่วงคลองบางซื่อ,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.05,ถ.รัชดาภิเษก สถานฑูตจีน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.06,ถ.ประชาสุข ซ.อินทามระ 53,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.07,ถ.วิภาวดี(ขาออก) ช่วงกรมทหารราบที่ 1,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DDG.08,ถ.ดินแดง ช่วงโรงเรียนพิบูลประชาสรรค์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DST.01,ถ.พิษณุโลก ช่วงบ้านพิษณุโลก,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DST.02,ถ.สามเสน ช่วงแยกเกียกกาย,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DST.03,ถ.ศรีอยุธยา ลานพระราชวังดุสิต,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DST.04,ถ.ราชสีมา แยกอู่ทองนอก,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DST.05,ถ.นครไชยศรี (กรมสรรพสามิต),105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DST.06,ถ.ราชวิถี เชิงสะพานกรุงธนบุรี,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.DST.07,ถ.นครไชยศรี ช่วงตลาดศรีย่าน,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.HKG.01,ถ.เพชรบุรีตัดใหม่ ช่วงสิงห์คอมเพล็กซ์,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.JTG.01,ถ.จอมทอง ช่วงแยกจอมทอง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.KSN.01,ถ.ลาดหญ้า วงเวียนใหญ่,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.KTY.01,ถ.พระรามที่ 3 ช่วงตลาดฮ่องกง-ปีนัง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.KTY.02,ซ.สุขุมวิท 22 (ด้านถนนพระรามที่ 4),105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.KTY.03,ถ.พระราม 3 ช่วงทางรถไฟ,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.KTY.04,ถ.พระราม 4 ช่วงกล้วยน้ำไท,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.KTY.05,ถ.สุนทรโกษา แยก ณ ระนอง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.LSI.01,ซ.แจ้งวัฒนะ 14,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.LSI.02,ถ.งามวงศ์วาน แยกพงษ์เพชร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.LSI.03,ถ.แจ้งวัฒนะ หน้าศาลปกครองกลาง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.LSI.04,ถ.แจ้งวัฒนะขาเข้า (โลตัส),105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.LSI.05,ถ.แจ้งวัฒนะขาออก (มทบ. 11),105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.LSI.06,ถ.งามวงศ์วาน ซอยชินเขต,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PKN.01,ถ.สุขุมวิท ช่วงซอยสุขุมวิท 62,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PNK.02,ถ.วิสุทธิ์กษัตริย์  หน้าวัดอินทรวิหาร,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PPS.01,ถ.หลานหลวง หน้าธนาคารกรุงไทย,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PPS.02,ถ.หลวง ช่วงวัดเทพศิรินทราวาส,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PTW.01,ถ.พระรามที่ 1 ช่วงสนามกีฬาแห่งชาติ,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PTW.02,ถ.พญาไท ช่วงมาบุญครอง,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PTW.03,ถ.พระรามที่ 1 ช่วงวัดปทุมวนาราม,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
flood,2019,FL.PTW.04,ถ.พระรามที่ 4 หน้าวัน แบงค็อก,105120,105120,100.0,105120,0,2019-01-01,2019-12-31 23:55:00,flood,0.0,False
