district,sensors,events,stations_with_events,total_minutes,deepest_cm,events_per_sensor
Bang Bon,2,23.0,2.0,920.0,29.5,11.5
Bang Kapi,2,11.0,1.0,635.0,32.7,5.5
Bang Khae,2,14.0,2.0,610.0,35.8,7.0
Bang Khen,2,0.0,0.0,0.0,,0.0
Bang Kho Laem,1,0.0,0.0,0.0,,0.0
Bang Khun Thian,1,0.0,0.0,0.0,,0.0
Bang Na,5,47.0,5.0,5090.0,50.9,9.4
Bang Rak,2,16.0,2.0,690.0,40.7,8.0
Bang Sue,1,0.0,0.0,0.0,,0.0
Bangkok Noi,2,18.0,2.0,1005.0,27.1,9.0
Bueng Kum,2,38.0,2.0,3455.0,39.4,19.0
Chatuchak,7,84.0,7.0,11435.0,148.8,12.0
Chom Thong,1,2.0,1.0,105.0,21.8,2.0
Din Daeng,8,107.0,7.0,7975.0,48.9,13.375
Dusit,8,7.0,4.0,460.0,28.6,0.875
Huai Khwang,1,12.0,1.0,1035.0,36.0,12.0
Khlong San,1,0.0,0.0,0.0,,0.0
Khlong Toei,5,32.0,5.0,2245.0,34.1,6.4
Lak Si,6,53.0,5.0,6680.0,73.3,8.833333333333334
Min Buri,1,0.0,0.0,0.0,,0.0
Pathum Wan,5,13.0,3.0,750.0,34.4,2.6
Phaya Thai,7,54.0,7.0,6710.0,147.7,7.714285714285714
Phra Khanong,1,0.0,0.0,0.0,,0.0
Phra Nakhon,1,0.0,0.0,0.0,,0.0
Pom Prap Sattru Phai,2,3.0,1.0,90.0,27.8,1.5
Prawet,2,38.0,1.0,6335.0,43.2,19.0
Ratchathewi,12,83.0,9.0,3805.0,44.6,6.916666666666667
Sai Mai,1,48.0,1.0,2610.0,51.5,48.0
Samphanthawong,2,6.0,2.0,125.0,29.1,3.0
Sathon,4,61.0,4.0,5015.0,45.4,15.25
Suan Luang,3,46.0,3.0,4890.0,40.3,15.333333333333334
Vadhana,3,12.0,3.0,600.0,61.5,4.0
Wang Thonglang,4,9.0,3.0,1305.0,37.5,2.25
