district,elev_m_p50_raw,depression_depth_m_p95_raw,depressed_area_share_raw,elev_m_p50_ground,depression_depth_m_p95_ground,depressed_area_share_ground,ground_share,mask,elev_drop_m
Bang Rak,4.544999999999583,1.835,0.3329,1.41499999999965,0.095,0.0756,0.0461,ground+roads,3.13
Bang Phlat,4.574999999999583,1.6949999999999998,0.3133,1.934999999999639,0.07500000000000001,0.0675,0.0521,ground+roads,2.64
Dusit,4.484999999999585,1.885,0.3708,2.0149999999996373,0.185,0.1532,0.025,ground+roads,2.47
Ratchathewi,4.68499999999958,1.875,0.3862,2.36499999999963,0.165,0.1336,0.023,ground+roads,2.32
Pathum Wan,4.564999999999583,1.885,0.426,2.5649999999996256,0.135,0.1013,0.0324,ground+roads,2.0
Pom Prap Sattru Phai,4.804999999999578,1.105,0.2814,2.8549999999996194,0.085,0.0649,0.0549,ground+roads,1.95
Phaya Thai,1.3949999999996505,1.7049999999999998,0.2944,0.8349999999996626,0.005,0.0354,0.115,ground+roads,0.56
Phra Nakhon,2.8049999999996205,0.805,0.3014,2.454999999999628,0.005,0.0172,0.1064,ground+roads,0.35
Vadhana,0.6349999999996668,0.435,0.2157,0.4249999999996713,0.005,0.0272,0.1612,ground+roads,0.21
Din Daeng,0.9649999999996598,0.5750000000000001,0.2109,0.7749999999996638,0.005,0.028,0.2124,ground+roads,0.19
Khlong Toei,1.1149999999996565,0.47500000000000003,0.2291,0.9349999999996604,0.005,0.0243,0.1274,ground+roads,0.18
Sathon,1.4349999999996497,1.105,0.2537,1.2649999999996533,0.005,0.0303,0.159,ground+roads,0.17
Phra Khanong,0.4149999999996715,0.445,0.2641,0.2849999999996743,0.005,0.0282,0.2031,ground+roads,0.13
Lak Si,1.5849999999996465,0.605,0.2599,1.464999999999649,0.005,0.0201,0.1484,ground+roads,0.12
Bang Na,0.7349999999996647,0.525,0.2794,0.6149999999996673,0.005,0.0265,0.1566,ground+roads,0.12
Bang Sue,1.374999999999651,0.455,0.2402,1.2549999999996535,0.005,0.0217,0.1581,ground+roads,0.12
Bang Kapi,0.6349999999996668,0.555,0.2414,0.5249999999996692,0.005,0.0291,0.1797,ground+roads,0.11
Lat Phrao,1.324999999999652,0.455,0.2043,1.2249999999996541,0.005,0.0179,0.2173,ground+roads,0.1
Huai Khwang,0.9849999999996594,0.525,0.218,0.8849999999996615,0.005,0.0223,0.1619,ground+roads,0.1
Wang Thonglang,0.9049999999996611,0.265,0.1905,0.814999999999663,0.005,0.0218,0.2415,ground+roads,0.09
Yan Nawa,1.554999999999647,0.35500000000000004,0.21,1.464999999999649,0.005,0.0259,0.1419,ground+roads,0.09
Saphan Sung,0.8349999999996626,0.675,0.2828,0.7449999999996645,0.005,0.0251,0.1548,ground+roads,0.09
Chatuchak,1.1549999999996556,0.375,0.2058,1.0749999999996573,0.005,0.0184,0.1694,ground+roads,0.08
Suan Luang,0.5149999999996694,0.375,0.2242,0.4349999999996711,0.005,0.0298,0.2112,ground+roads,0.08
Bueng Kum,1.1049999999996567,0.545,0.2243,1.0349999999996582,0.005,0.0259,0.1945,ground+roads,0.07
Prawet,0.6849999999996658,0.7050000000000001,0.3041,0.6149999999996673,0.005,0.0254,0.1562,ground+roads,0.07
Phasi Charoen,1.134999999999656,0.675,0.3253,1.0849999999996571,0.005,0.0215,0.1482,ground+roads,0.05
Bang Khae,1.184999999999655,0.765,0.3511,1.134999999999656,0.005,0.026,0.1571,ground+roads,0.05
Thon Buri,1.4849999999996486,0.34500000000000003,0.2644,1.4449999999996495,0.005,0.0217,0.1614,ground+roads,0.04
Bang Kho Laem,1.5949999999996463,0.465,0.2626,1.554999999999647,0.005,0.0206,0.1422,ground+roads,0.04
Taling Chan,1.41499999999965,0.845,0.3651,1.3849999999996507,0.005,0.0221,0.1193,ground+roads,0.03
Khlong San,1.6149999999996458,0.255,0.2059,1.5849999999996465,0.005,0.0282,0.1925,ground+roads,0.03
Chom Thong,1.1249999999996563,0.525,0.3063,1.094999999999657,0.005,0.0246,0.1546,ground+roads,0.03
Bang Bon,0.9649999999996598,0.725,0.3815,0.9349999999996604,0.005,0.028,0.1381,ground+roads,0.03
Bangkok Yai,1.4749999999996488,0.425,0.2619,1.4549999999996492,0.005,0.0226,0.1654,ground+roads,0.02
Bangkok Noi,1.8149999999996416,0.385,0.245,1.794999999999642,0.005,0.0185,0.1349,ground+roads,0.02
Thawi Watthana,1.2449999999996537,0.8250000000000001,0.4126,1.2549999999996535,0.005,0.023,0.1175,ground+roads,-0.01
Rat Burana,1.234999999999654,0.47500000000000003,0.2795,1.2449999999996537,0.005,0.0203,0.129,ground+roads,-0.01
Sai Mai,1.6349999999996454,0.7050000000000001,0.2899,1.6849999999996443,0.005,0.0171,0.1296,ground+roads,-0.05
Nong Chok,1.2549999999996535,0.765,0.4784,1.3049999999996524,0.005,0.0228,0.0341,ground+roads,-0.05
Bang Khen,1.5249999999996477,0.635,0.2842,1.5749999999996467,0.005,0.0221,0.1441,ground+roads,-0.05
Nong Khaem,1.184999999999655,0.765,0.4069,1.2449999999996537,0.005,0.0212,0.1476,ground+roads,-0.06
Samphanthawong,2.644999999999624,0.275,0.214,2.724999999999622,0.005,0.0025,0.157,ground+roads,-0.08
Thung Khru,0.8749999999996617,0.525,0.3931,0.9649999999996598,0.005,0.0268,0.1813,ground+roads,-0.09
Khan Na Yao,1.2449999999996537,0.735,0.2749,1.3449999999996516,0.005,0.0209,0.1281,ground+roads,-0.1
Don Mueang,1.5749999999996467,0.7050000000000001,0.2829,1.6949999999996441,0.005,0.0219,0.1253,ground+roads,-0.12
Lat Krabang,0.624999999999667,0.685,0.4175,0.7449999999996645,0.005,0.0262,0.0648,ground+roads,-0.12
Min Buri,0.9149999999996609,0.805,0.4017,1.0549999999996578,0.005,0.0226,0.0826,ground+roads,-0.14
Bang Khun Thian,0.8549999999996621,0.515,0.5046,1.0049999999996588,0.085,0.0909,0.1047,ground,-0.15
Khlong Sam Wa,1.3449999999996516,0.795,0.4264,1.564999999999647,0.005,0.0245,0.0638,ground+roads,-0.22
