district,elev_m_mean,elev_m_std,elev_m_min,elev_m_max,elev_m_n,elev_m_p1,elev_m_p5,elev_m_p10,elev_m_p25,elev_m_p50,elev_m_p75,elev_m_p90,elev_m_p95,elev_m_p99,depression_depth_m_mean,depression_depth_m_std,depression_depth_m_min,depression_depth_m_max,depression_depth_m_n,depression_depth_m_p1,depression_depth_m_p5,depression_depth_m_p10,depression_depth_m_p25,depression_depth_m_p50,depression_depth_m_p75,depression_depth_m_p90,depression_depth_m_p95,depression_depth_m_p99,slope_deg_mean,slope_deg_std,slope_deg_min,slope_deg_max,slope_deg_n,slope_deg_p1,slope_deg_p5,slope_deg_p10,slope_deg_p25,slope_deg_p50,slope_deg_p75,slope_deg_p90,slope_deg_p95,slope_deg_p99,area_km2,dtm_coverage_pct,depressed_area_share,depression_truncated_share,tiles,mask,ground_share,mask_suspect,raster,elev_range_m,elev_rank_citywide,twi_mean,twi_std,twi_p1,twi_p5,twi_p10,twi_p25,twi_p50,twi_p75,twi_p90,twi_p95,twi_p99,log_flow_acc_mean,log_flow_acc_std,log_flow_acc_p1,log_flow_acc_p5,log_flow_acc_p10,log_flow_acc_p25,log_flow_acc_p50,log_flow_acc_p75,log_flow_acc_p90,log_flow_acc_p95,log_flow_acc_p99
Phra Khanong,0.4474653260687825,0.43950190761995533,-2.2860660552978516,9.898276329040527,13259457,-0.5250000000003084,-0.1850000000003157,-0.04500000000031868,0.16499999999967685,0.4149999999996715,0.6849999999996658,0.95499999999966,1.184999999999655,1.744999999999643,0.07244897453191333,0.17429919526761606,0.0,2.3826725482940674,13259457,0.005,0.005,0.005,0.005,0.005,0.055,0.255,0.445,0.8350000000000001,2.4897533134275407,3.4607597182469414,4.020901906187646e-05,77.89514923095703,13259457,0.085,0.20500000000000002,0.315,0.635,1.315,2.8649999999999998,5.845,8.785,17.884999999999998,13.259457,100.0,0.2641,0.0,4,none,1.0,False,data/features/terrain_rasters/depression_Phra_Khanong.tif,2.2699999999999516,1,8.783344268798828,1.717173457145691,5.625571250915527,6.177758693695068,6.535412788391113,7.328441143035889,9.290323257446289,10.039690971374512,11.132746696472168,11.831450462341309,12.81227970123291,0.307370662689209,0.40385231375694275,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.1760913133621216,1.5440680980682373
Suan Luang,0.5279147469894611,0.41881691790858394,-1.9804792404174805,10.147481918334961,24427935,-0.4150000000003108,-0.19500000000031548,0.02499999999967983,0.2849999999996743,0.5149999999996694,0.7649999999996641,1.0149999999996586,1.1949999999996548,1.6349999999996454,0.057193489492664853,0.14998989674846455,0.0,2.776520252227783,24427935,0.005,0.005,0.005,0.005,0.005,0.005,0.20500000000000002,0.375,0.7050000000000001,2.7210236968454353,3.5158238321854642,0.0,77.1006088256836,24427935,0.095,0.225,0.34500000000000003,0.6950000000000001,1.4749999999999999,3.295,6.505,9.445,17.634999999999998,24.427935,100.0,0.2242,0.0,6,none,1.0,False,data/features/terrain_rasters/depression_Suan_Luang.tif,2.0499999999999563,2,8.423235893249512,1.70851469039917,5.573460059165955,6.100032186508178,6.407787418365478,7.042317509651184,8.159895420074463,9.34654426574707,10.73283863067627,11.649128913879395,12.78053092956543,0.31514474749565125,0.4078045189380646,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.556302547454834
Lat Krabang,0.6132986701702613,0.5885526574060116,-7.134991645812988,23.71879005432129,129234843,-0.7750000000003031,-0.27500000000031377,-0.06500000000031825,0.24499999999967514,0.624999999999667,0.9749999999996596,1.274999999999653,1.464999999999649,1.9249999999996392,0.15441741133353837,0.2870972032623964,0.0,7.655668258666992,129234843,0.005,0.005,0.005,0.005,0.005,0.225,0.515,0.685,1.1749999999999998,3.3464035888540304,4.742458361261597,0.0,84.40208435058594,129232506,0.065,0.17500000000000002,0.295,0.665,1.575,3.855,8.775,13.305000000000001,22.605,129.286025,99.96,0.4175,0.0,22,none,0.9996,False,data/features/terrain_rasters/depression_Lat_Krabang.tif,2.6999999999999424,3,8.295403480529785,1.7274389266967773,5.340072097778321,5.911616420745849,6.251447105407715,6.928197860717773,8.038202285766602,9.34654426574707,10.73283863067627,11.543768882751465,12.713839530944824,0.32739749550819397,0.4103633463382721,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.556302547454834
Vadhana,1.1183728498204537,1.3860533018067047,-3.9581639766693115,5.566356182098389,12981881,-0.3850000000003114,0.034999999999679614,0.18499999999967642,0.39499999999967195,0.6349999999996668,0.9949999999996592,4.22499999999959,4.7749999999995785,4.934999999999575,0.08379469070198686,0.2886401285546016,0.0,4.377211093902588,12981881,0.005,0.005,0.005,0.005,0.005,0.005,0.195,0.435,1.6849999999999998,2.7912274423097854,4.498893302062254,8.53773599374108e-07,73.87057495117188,12981881,0.07500000000000001,0.195,0.305,0.625,1.335,2.995,6.405,10.165000000000001,23.724999999999998,12.981881,100.0,0.2157,0.0,4,none,1.0,False,data/features/terrain_rasters/depression_Vadhana.tif,5.319999999999887,4,8.192451477050781,1.7297358512878418,5.407414150238037,5.947652578353882,6.248865127563477,6.855906009674072,7.820305824279785,9.34654426574707,10.73283863067627,11.543768882751465,12.78053092956543,0.32269227504730225,0.40976226329803467,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Bang Kapi,0.6332017367812153,0.5542299777639622,-3.9978835582733154,7.935216426849365,27193120,-0.7150000000003044,-0.28500000000031356,-0.06500000000031825,0.31499999999967365,0.6349999999996668,0.9749999999996596,1.2849999999996529,1.4849999999996486,1.9549999999996386,0.0826316063585201,0.21758001076482641,0.0,5.1069416999816895,27193120,0.005,0.005,0.005,0.005,0.005,0.005,0.28500000000000003,0.555,1.055,2.696238759105244,3.695100079137416,8.316298044519499e-05,72.30535888671875,27193120,0.085,0.20500000000000002,0.335,0.665,1.4249999999999998,3.175,6.385,9.455000000000002,18.845,27.19312,100.0,0.2414,0.0,9,none,1.0,False,data/features/terrain_rasters/depression_Bang_Kapi.tif,2.669999999999943,4,8.341129302978516,1.7354717254638672,5.493873901367188,6.024233150482178,6.328657817840576,6.956315994262695,8.013233184814453,9.34654426574707,10.73283863067627,11.649128913879395,12.81227970123291,0.323557585477829,0.4127366840839386,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Prawet,0.6423302913486457,0.6165092820421711,-3.999465227127075,8.777200698852539,53985698,-1.4150000000002896,-0.3350000000003125,-0.11500000000031718,0.3349999999996732,0.6849999999996658,1.0049999999996588,1.324999999999652,1.5349999999996475,2.034999999999637,0.12519771541506233,0.2822691153275417,0.0,4.8070526123046875,53985698,0.005,0.005,0.005,0.005,0.005,0.10500000000000001,0.455,0.7050000000000001,1.4449999999999998,3.066012640977616,3.9663974827425186,0.0,73.75888061523438,53985698,0.065,0.195,0.325,0.725,1.625,3.785,7.515,10.925,19.625,53.985698,100.0,0.3041,0.0,9,none,1.0,False,data/features/terrain_rasters/depression_Prawet.tif,3.4499999999999265,6,8.277037620544434,1.7393795251846313,5.45079532623291,5.978155422210693,6.282240104675293,6.888956069946289,7.922445297241211,9.34654426574707,10.73283863067627,11.543768882751465,12.78053092956543,0.323629230260849,0.4109611511230469,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Bang Na,0.7366471636189008,0.47227723552150336,-2.4614298343658447,8.526814460754395,19079550,-0.4650000000003097,0.004999999999680256,0.18499999999967642,0.4449999999996709,0.7349999999996647,1.0049999999996588,1.274999999999653,1.4749999999996488,2.0049999999996375,0.08913783541324043,0.21594506287961335,0.0,3.0914101600646973,19079550,0.005,0.005,0.005,0.005,0.005,0.07500000000000001,0.305,0.525,1.025,2.3636164316510677,3.466747018237015,0.00010977550118695945,73.56305694580078,19079230,0.065,0.17500000000000002,0.275,0.555,1.1749999999999998,2.645,5.635,8.595,18.125,19.083122,99.98,0.2794,0.0,6,none,0.9998,False,data/features/terrain_rasters/depression_Bang_Na.tif,2.4699999999999473,7,8.433774948120117,1.7159757614135742,5.489760746955872,6.064522290229798,6.401162052154541,7.080043911933899,8.185568809509277,9.34654426574707,10.73283863067627,11.649128913879395,12.84305191040039,0.3319093883037567,0.41756609082221985,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2304489612579346,1.5910645723342896
Saphan Sung,0.7835877798528466,0.6096819349521743,-3.0528814792633057,9.567978858947754,27981670,-0.6550000000003057,-0.28500000000031356,-0.08500000000031782,0.45499999999967067,0.8349999999996626,1.1649999999996554,1.464999999999649,1.6749999999996446,2.2349999999996326,0.11320335609436463,0.270242867231865,0.0,4.414368629455566,27981670,0.005,0.005,0.005,0.005,0.005,0.07500000000000001,0.425,0.675,1.145,3.1087728144889137,4.084017007619479,0.00022060095216147602,75.51351928710938,27981670,0.085,0.23500000000000001,0.375,0.785,1.6749999999999998,3.715,7.385,11.025,20.895,27.98167,100.0,0.2828,0.0,9,none,1.0,False,data/features/terrain_rasters/depression_Saphan_Sung.tif,2.8899999999999384,8,8.159984588623047,1.7089204788208008,5.385991106033325,5.934409189224243,6.253418922424316,6.848851680755615,7.771505832672119,9.34654426574707,10.579401016235352,11.436451816558828,12.78053092956543,0.3239694833755493,0.41463062167167664,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Bang Khun Thian,0.9141157145564013,0.5638715478035503,-16.78451156616211,11.191265106201172,123345524,-0.035000000000318894,0.30499999999967387,0.45499999999967067,0.6549999999996664,0.8549999999996621,1.1649999999996554,1.5049999999996482,1.7249999999996435,2.1449999999996345,0.1481432405311367,0.4045196374387355,0.0,17.688318252563477,123345524,0.005,0.005,0.005,0.005,0.055,0.225,0.385,0.515,0.885,2.2780765619045438,3.6750366727743846,0.0,76.4367446899414,123345524,0.045,0.095,0.155,0.34500000000000003,0.885,2.465,5.935,9.735000000000001,18.825,123.345524,100.0,0.5046,0.0,25,none,1.0,False,data/features/terrain_rasters/depression_Bang_Khun_Thian.tif,2.1799999999999535,9,8.763715744018555,1.7248222827911377,5.68406153678894,6.226348161697388,6.568456649780273,7.310158967971802,8.94188117980957,10.039690971374512,11.138303756713867,11.831450462341309,12.872904777526855,0.32480281591415405,0.4105304777622223,0.0,0.0,0.0,0.0,0.3010300099849701,0.4771212637424469,0.9542425274848938,1.2041200399398804,1.5682017803192139
Thung Khru,0.8597335024543362,0.4536383022655825,-2.3421518802642822,8.347728729248047,31902109,-0.16500000000031612,0.1949999999996762,0.30499999999967387,0.5149999999996694,0.8749999999996617,1.1749999999996552,1.4349999999996497,1.5849999999996465,1.9149999999996394,0.11753781159572985,0.20538979674347918,0.0,3.265314817428589,31902109,0.005,0.005,0.005,0.005,0.005,0.185,0.375,0.525,0.875,2.598431211867529,3.2657742518737636,3.8038462662370875e-05,61.84994125366211,31902109,0.065,0.17500000000000002,0.295,0.675,1.4849999999999999,3.155,6.125,9.065000000000001,16.445,31.902109,100.0,0.3931,0.0,6,none,1.0,False,data/features/terrain_rasters/depression_Thung_Khru.tif,2.0799999999999557,10,8.491211891174316,1.680790662765503,5.720264167785644,6.205473232269287,6.4992186546325685,7.1196136474609375,8.245009422302246,9.34654426574707,10.741965103149422,11.649128913879395,12.74774169921875,0.30942460894584656,0.4047127962112427,0.0,0.0,0.0,0.0,0.0,0.4771212637424469,0.9542425274848938,1.1760913133621216,1.5314788818359375
