station_code,positives,tp,fn,fp,recall,precision,f2,false_negative_rate,n_rows,alarms,tn,f1,false_positive_rate,specificity,alarms_per_hit,csi
FL.SMI.01,64,26,38,34,0.4062,0.4333,0.4114,0.5938,35040,60,34942,0.4194,0.000972,0.999,2.31,0.2653
FL.BNA.04,49,25,24,7,0.5102,0.7812,0.5482,0.4898,35040,32,34984,0.6173,0.0002,0.9998,1.28,0.4464
FL.CTC.04,45,27,18,11,0.6,0.7105,0.6193,0.4,35040,38,34984,0.6506,0.000314,0.9997,1.41,0.4821
FL.DDG.02,42,26,16,13,0.619,0.6667,0.628,0.381,35040,39,34985,0.642,0.000371,0.9996,1.5,0.4727
FL.BKM.01,41,25,16,16,0.6098,0.6098,0.6098,0.3902,35040,41,34983,0.6098,0.000457,0.9995,1.64,0.4386
FL.DDG.01,25,10,15,7,0.4,0.5882,0.4274,0.6,35040,17,35008,0.4762,0.0002,0.9998,1.7,0.3125
FL.STN.03,33,19,14,15,0.5758,0.5588,0.5723,0.4242,35040,34,34992,0.5672,0.000428,0.9996,1.79,0.3958
FL.CTC.07,41,29,12,16,0.7073,0.6444,0.6938,0.2927,35040,45,34983,0.6744,0.000457,0.9995,1.55,0.5088
FL.LSI.02,31,19,12,9,0.6129,0.6786,0.625,0.3871,35040,28,35000,0.6441,0.000257,0.9997,1.47,0.475
FL.RTW.08,27,16,11,2,0.5926,0.8889,0.6349,0.4074,35040,18,35011,0.7111,5.7e-05,0.9999,1.12,0.5517
FL.CTC.03,35,25,10,4,0.7143,0.8621,0.7396,0.2857,32783,29,32744,0.7813,0.000122,0.9999,1.16,0.641
FL.SLG.03,33,23,10,18,0.697,0.561,0.6647,0.303,35040,41,34989,0.6216,0.000514,0.9995,1.78,0.451
FL.PYT.02,23,15,8,8,0.6522,0.6522,0.6522,0.3478,27926,23,27895,0.6522,0.000287,0.9997,1.53,0.4839
FL.RTW.09,22,14,8,13,0.6364,0.5185,0.6087,0.3636,35040,27,35005,0.5714,0.000371,0.9996,1.93,0.4
FL.PYT.05,18,10,8,3,0.5556,0.7692,0.5882,0.4444,34807,13,34786,0.6452,8.6e-05,0.9999,1.3,0.4762
FL.BBN.01,15,7,8,2,0.4667,0.7778,0.5072,0.5333,35040,9,35023,0.5833,5.7e-05,0.9999,1.29,0.4118
FL.STN.01,14,6,8,3,0.4286,0.6667,0.4615,0.5714,35040,9,35023,0.5217,8.6e-05,0.9999,1.5,0.3529
FL.PYT.07,10,2,8,2,0.2,0.5,0.2273,0.8,35040,4,35028,0.2857,5.7e-05,0.9999,2.0,0.1667
FL.PPS.01,8,0,8,2,0.0,0.0,0.0,1.0,35040,2,35030,0.0,5.7e-05,0.9999,0.0,0.0
FL.PYT.06,19,12,7,3,0.6316,0.8,0.6593,0.3684,35040,15,35018,0.7059,8.6e-05,0.9999,1.25,0.5455
FL.BBN.02,18,11,7,2,0.6111,0.8462,0.6471,0.3889,35040,13,35020,0.7097,5.7e-05,0.9999,1.18,0.55
