raw_excursions,ge2readings,med_dur_min,max_dur_min,stations_affected,year,tier
771.0,489.0,10.0,2815.0,78.0,2019,5
209.0,126.0,15.0,2450.0,57.0,2019,15
78.0,40.0,10.0,2125.0,26.0,2019,30
893.0,584.0,15.0,1395.0,66.0,2020,5
196.0,132.0,17.5,1220.0,47.0,2020,15
30.0,23.0,17.5,690.0,11.0,2020,30
954.0,675.0,15.0,2295.0,89.0,2021,5
209.0,147.0,20.0,330.0,59.0,2021,15
38.0,17.0,5.0,220.0,18.0,2021,30
1188.0,893.0,25.0,1700.0,94.0,2022,5
442.0,302.0,15.0,1265.0,61.0,2022,15
106.0,47.0,5.0,495.0,19.0,2022,30
565.0,410.0,20.0,1010.0,95.0,2023,5
164.0,115.0,20.0,415.0,62.0,2023,15
40.0,22.0,10.0,320.0,20.0,2023,30
449.0,321.0,15.0,310.0,62.0,2024,5
75.0,48.0,15.0,165.0,30.0,2024,15
10.0,9.0,20.0,80.0,7.0,2024,30
461.0,377.0,30.0,485.0,79.0,2025,5
174.0,129.0,25.0,245.0,58.0,2025,15
40.0,21.0,10.0,195.0,15.0,2025,30
