station,rows,ts_min,ts_max,n_ts,name,n_flood,min_flood,max_flood,avg_flood,n_ge5,n_ge15,n_ge30,n_gt0,n_neg,year,dataset
FL.BBN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เอกชัย ช่วงห้างบิ๊กซีบางบอน,105120,0.0,29.5,0.0056031202,47,3,0,77,0,2019,flood
FL.BBN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เอกชัย ซอย 60,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.BKA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พหลโยธิน ช่วงวงเวียนบางเขน,105120,0.0,0.4,0.0031288052,0,0,0,2936,0,2019,flood
FL.BKE.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เพชรเกษม แยกวงแหวนกาญจนาภิเษก,105120,0.0,11.4,0.0012490487,13,0,0,17,0,2019,flood
FL.BKE.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เพชรเกษม ช่วงซอยวัดม่วง,105120,0.0,35.8,0.0118673896,47,37,8,176,0,2019,flood
FL.BKL.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เจริญกรุง ช่วงวัดราชสิงขร,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.BKM.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.นวมินทร์ ช่วงซอย 46 (สันติอโศก),105120,0.0,77.5,0.0241219559,148,78,2,288,0,2019,flood
FL.BKM.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.นวมินทร์ ช่วงซอย 135,105120,0.0,63.0,0.0143188737,7,1,1,6740,0,2019,flood
FL.BKN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.อิสรภาพ ช่วงตลาดพรานนก,105120,0.0,27.3,0.0144111492,81,43,0,151,0,2019,flood
FL.BKN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.บรมราชชนนี ช่วงสายใต้,105120,0.0,21.2,0.0137252664,35,25,0,6600,0,2019,flood
FL.BKP.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ลาดพร้าว แม็คโคร,105120,0.0,21.6,0.0048116438,1,1,0,1599,0,2019,flood
FL.BKP.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ศรีนครินทร์ หน้าบริษัทกรีนสปอร์ต,105120,0.0,22.9,0.0013850837,11,2,0,17,0,2019,flood
