station,rows,ts_min,ts_max,n_ts,name,n_flow,min_flow,max_flow,avg_flow,n_wl,min_wl,max_wl,avg_wl,n_area,min_area,max_area,avg_area,n_mean_velocity,min_mean_velocity,max_mean_velocity,avg_mean_velocity,year,dataset
FW.BBU.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบัว,102475,-5.34,13.73,1.7821540864,102475,-1.0,0.97,-0.1266173213,80711,0.0,56.99,28.7086112178,102475,-0.24,0.29,0.060690022,2019,flow
FW.BKA.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำคลองบางเขนใหม่,103878,0.0,62.06,2.1206137007,103878,-1.72,0.6,-0.2796707676,103878,9.11,39.02,27.5232774023,103878,0.0,3.12,0.1519687518,2019,flow
FW.BKG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำคลองบึงขวาง,101985,-62.04,1000.0,-0.3609636711,101984,-0.61,2.33,-0.2295746392,101984,0.0,69.28,20.4528284829,101984,-1.61,1.34,-0.0209391669,2019,flow
FW.BSU.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำคลองบางซื่อ,104932,0.0,49.52,2.131922769,104932,-0.96,0.38,-0.3063100865,104932,35.82,58.56,46.9134835894,104932,0.0,1.79,0.0757515343,2019,flow
FW.K2W.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำคลองสองตะวันตก,105088,0.0,327.03,1.7911046932,105088,-0.44,2.54,-0.0117995394,105088,1.52,64.24,9.1359881242,105088,0.0,8.43,0.2100239799,2019,flow
FW.K3W.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำคลองสามตะวันตก,103125,0.0,41.23,0.1345269333,103125,-0.18,3.36,0.1828261818,103125,23.65,89.51,29.4713309091,103125,0.0,2.86,0.0078373818,2019,flow
FW.K4W.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำคลองสี่ตะวันตก,105082,0.0,14.5,0.0271030243,105082,-0.7,2.85,0.0796813917,105082,1.06,101.12,12.0885666432,105082,0.0,1.9,0.0042710455,2019,flow
FW.KKY.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำคลองควาย,102316,0.0,71.91,0.1702942844,102316,-1.72,1.2,0.4892254388,102316,2.13,46.98,33.5679183119,102316,0.0,7.43,0.0181154463,2019,flow
FW.KNG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำคลองหนึ่ง,105097,0.0,51.57,0.5845553156,105097,-0.6,0.28,-0.2756823696,105097,12.0,28.0,16.9841194325,105097,0.0,4.59,0.0539559645,2019,flow
FW.KPM.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเปรมประชากร ตอนวัดเทวสุนทร,87293,-3.26,27.22,2.109420343,87293,-0.32,0.33,0.0085634587,86189,0.0,74.4,15.1336314379,87293,-30.4,58.27,0.1057073305,2019,flow
