station,rows,ts_min,ts_max,n_ts,name,n_rf5min,min_rf5min,max_rf5min,avg_rf5min,n_rf15min,min_rf15min,max_rf15min,avg_rf15min,n_rf30min,min_rf30min,max_rf30min,avg_rf30min,n_rf1hr,min_rf1hr,max_rf1hr,avg_rf1hr,n_rf3hr,min_rf3hr,max_rf3hr,avg_rf3hr,n_rf6hr,min_rf6hr,max_rf6hr,avg_rf6hr,n_rf12hr,min_rf12hr,max_rf12hr,avg_rf12hr,n_rf24hr,min_rf24hr,max_rf24hr,avg_rf24hr,year,dataset
RF.BBN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สำนักงานเขตบางบอน,105120,0.0,12.0,0.0086044521,105120,0.0,24.5,0.0258133562,105120,0.0,46.0,0.0516267123,105120,0.0,66.5,0.1032534247,105120,0.0,67.5,0.309760274,105120,0.0,68.0,0.6195205479,105120,0.0,68.0,1.2390410959,105120,0.0,135.5,2.4759512938,2019,rain
RF.BBN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบอน ตอนคลองสะแกงาม,105120,0.0,15.5,0.0104689878,105120,0.0,35.0,0.0314069635,105120,0.0,54.5,0.0628139269,105120,0.0,88.0,0.1256278539,105120,0.0,95.0,0.3768835616,105120,0.0,95.5,0.7537671233,105120,0.0,95.5,1.5075342466,105120,0.0,185.5,3.0150684932,2019,rain
RF.BKA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สำนักงานเขตบางเขน,105120,0.0,15.5,0.0099790715,105120,0.0,35.5,0.0299372146,105120,0.0,38.5,0.0598744292,105120,0.0,46.0,0.1197488584,105120,0.0,76.5,0.3592465753,105120,0.0,80.0,0.7184931507,105120,0.0,80.5,1.4369863014,105120,0.0,85.5,2.8739726027,2019,rain
RF.BKA.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบัว,105120,0.0,17.0,0.0097412481,105120,0.0,33.5,0.0292237443,105120,0.0,51.0,0.0584474886,105120,0.0,57.5,0.1168949772,105120,0.0,76.0,0.3506849315,105120,0.0,81.5,0.701369863,105120,0.0,81.5,1.402739726,105120,0.0,83.0,2.8054794521,2019,rain
RF.BKE.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สำนักงานเขตบางแค,105120,0.0,13.0,0.0108019406,105120,0.0,34.5,0.0324058219,105120,0.0,57.0,0.0648116438,105120,0.0,79.0,0.1296232877,105120,0.0,86.0,0.388869863,105120,0.0,87.5,0.777739726,105120,0.0,87.5,1.5553415145,105120,0.0,169.5,3.1095034247,2019,rain
RF.BKE.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองราชมนตรี ตอนคลองภาษีเจริญ,105120,0.0,13.5,0.0107781583,105120,0.0,39.5,0.0323344749,105120,0.0,56.0,0.0646689498,105120,0.0,70.5,0.1293378995,105120,0.0,73.0,0.3880136986,105120,0.0,73.0,0.7760273973,105120,0.0,73.0,1.5520547945,105120,0.0,145.5,3.104109589,2019,rain
RF.BKE.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำคลองบางจาก,105120,0.0,11.0,0.0110825723,105120,0.0,28.5,0.0332477169,105120,0.0,53.0,0.0664954338,105120,0.0,86.5,0.1329908676,105120,0.0,126.5,0.3989726027,105120,0.0,126.5,0.7979452055,105120,0.0,126.5,1.595657344,105120,0.0,132.0,3.1907581811,2019,rain
RF.BKE.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,บ่อสูบน้ำหมู่บ้านเศรษฐกิจ ซอย 26,105120,0.0,16.5,0.0098268645,105120,0.0,43.0,0.0294805936,105120,0.0,75.5,0.0589611872,105120,0.0,124.0,0.1179223744,105120,0.0,158.5,0.3537671233,105120,0.0,159.0,0.7075294901,105120,0.0,159.0,1.4146118721,105120,0.0,159.0,2.8288384703,2019,rain
RF.BKL.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สำนักงานเขตบางคอแหลม,105120,0.0,12.5,0.0082952816,105120,0.0,25.5,0.0248858447,105120,0.0,44.0,0.0497716895,105120,0.0,54.5,0.099543379,105120,0.0,55.0,0.298630137,105120,0.0,55.0,0.597260274,105120,0.0,55.5,1.1945205479,105120,0.0,63.0,2.3850456621,2019,rain
RF.BKL.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองวัดไทร,105120,0.0,10.0,0.0079528158,105120,0.0,23.0,0.0238584475,105120,0.0,30.0,0.047716895,105120,0.0,44.5,0.09543379,105120,0.0,49.5,0.2863013699,105120,0.0,50.0,0.5726027397,105120,0.0,51.0,1.1452054795,105120,0.0,53.5,2.2904109589,2019,rain
