station,rows,ts_min,ts_max,n_ts,name,n_wl_in,min_wl_in,max_wl_in,avg_wl_in,n_wl_out01,min_wl_out01,max_wl_out01,avg_wl_out01,n_wl_out02,min_wl_out02,max_wl_out02,avg_wl_out02,year,dataset
WL.BBN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบอน ตอนถนนบางขุนเทียน,103092,-0.68,0.51,-0.1192796725,0,,,,0,,,,2019,water
WL.BBN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบอน ตอนถนนกาญจนาภิเษก,102991,-0.3,0.59,-0.0041206513,0,,,,0,,,,2019,water
WL.BBN.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบอน ตอนคลองสะแกงาม,105120,-0.29,0.56,0.0351366058,0,,,,0,,,,2019,water
WL.BBR.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบำหรุ ตอนถนนบรมราชชนนี,103074,-1.08,0.84,0.1550159109,0,,,,0,,,,2019,water
WL.BBR.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบำหรุ ตอนถนนสิรินธร,102237,-0.21,1.67,0.7604428925,0,,,,0,,,,2019,water
WL.BBU.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางบัว,105120,-0.38,0.8,-0.0765443303,0,,,,0,,,,2019,water
WL.BCN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเชือกหนัง ตอนถนนกาญจนาภิเษก,105120,0.08,0.85,0.4448140221,0,,,,0,,,,2019,water
WL.BCN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเชือกหนัง ตอนถนนพุทธมณฑลสาย 1,105120,-0.14,1.09,0.4386656202,0,,,,0,,,,2019,water
WL.BCN.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเชือกหนัง ตอนถนนพุทธมณฑลสาย 2,105120,0.17,0.89,0.4986884513,0,,,,0,,,,2019,water
WL.BJK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ บางจาก,105120,-1.41,-0.16,-0.9686797945,105120,-1.6,1.88,0.2227500951,0,,,,2019,water
WL.BJK.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,"""จุดวัดคลองบางจาก ตอนซอยเพชรเกษม 68 """,104975,-0.03,0.88,0.328028483,0,,,,0,,,,2019,water
WL.BJK.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางจาก ตอนคลองบางหว้า,105120,0.26,0.81,0.378337519,0,,,,0,,,,2019,water
WL.BJK.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,"""จุดวัดคลองบางจาก ตอนถนนพุทธมณฑลสาย 2 """,105120,0.04,1.14,0.3843844178,0,,,,0,,,,2019,water
WL.BKA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองบางเขนใหม่,105120,-2.38,0.85,-0.3662672184,105120,-0.8,2.38,0.474016933,0,,,,2019,water
WL.BKA.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเขน ช่วงถนนกรุงเทพ-นนทบุรี,105120,-1.38,0.48,-0.2925562215,0,,,,0,,,,2019,water
WL.BKA.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเขน ช่วงถนนประชาชื่น,105120,-0.74,0.63,-0.0916429795,0,,,,0,,,,2019,water
WL.BKA.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเขน ช่วงถนนวิภาวดีรังสิต,105120,-0.01,0.54,0.2791835046,0,,,,0,,,,2019,water
WL.BKB.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางกระบือ ตอนถนนสามเสน,104732,-1.02,0.8,-0.1764802544,0,,,,0,,,,2019,water
WL.BKG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำ คลองบึงขวาง,105120,-0.83,0.43,-0.3651455479,105120,-1.24,1.74,-0.2854107686,0,,,,2019,water
WL.BKL.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางโคลัด ตอนถนนบางบอน 1,104971,-0.19,0.64,0.1638161016,0,,,,0,,,,2019,water
WL.BKY.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองบางกอกใหญ่,105120,-1.5,1.11,0.1750490868,105120,-1.3,1.93,0.3527987062,0,,,,2019,water
WL.BKY.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเชือกหนัง ตอนวัดปากน้ำฝั่งใต้,105120,-0.44,0.63,0.2135337709,0,,,,0,,,,2019,water
WL.BLP.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางลำพู ตอนสะพานผ่านฟ้า,104968,-1.05,0.45,-0.3768451338,0,,,,0,,,,2019,water
WL.BLY.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบ้านหลาย ตอนถนนสุขุมวิท 77,61425,-3.0,0.51,-0.534554823,0,,,,0,,,,2019,water
WL.BMK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางมะเขือ ตอนถนนสุขุมวิท 71,102317,-1.54,-0.51,-0.9840723438,0,,,,0,,,,2019,water
WL.BNA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ บางนา,105119,-3.0,0.5,-0.6233072993,105120,-2.78,3.83,0.3601460236,0,,,,2019,water
WL.BNA.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนา ตอนถนนสุขุมวิท,76711,-2.84,2.57,-0.5834104626,0,,,,0,,,,2019,water
WL.BNA.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนา ตอนถนนศรีนครินทร์,105120,-0.96,0.33,-0.4680891362,0,,,,0,,,,2019,water
WL.BNJ.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนสถานีสูบน้ำบางนางจีน,104444,-1.54,-0.24,-0.8178532994,0,,,,0,,,,2019,water
WL.BNJ.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนซอยสุขุมวิท 66/1,93927,-3.0,1.12,-1.1496392943,0,,,,0,,,,2019,water
WL.BNJ.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนซอยสุขุมวิท 93,101039,-3.0,-0.11,-0.7601901246,0,,,,0,,,,2019,water
WL.BNJ.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนถนนสุขุมวิท 101/1,104931,-1.68,-0.08,-0.9846726897,0,,,,0,,,,2019,water
