station_code,site_timestamp,y_ge15_1h,pred,score,fl_depth_now,rain_rf1hr_mean,rain_rf3hr_mean,water_rising_share,rain_fcst_3h
FL.WTN.01,2025-02-08 13:30:00,1,0,2.620745641338813e-12,,0.0,0.0,0.06666667,0.0
FL.WTN.01,2025-02-08 13:15:00,1,0,3.1376553615481166e-12,,0.0,0.0,0.06,0.0
FL.WTN.01,2025-02-08 13:00:00,1,0,4.6151678067215226e-12,,0.0,0.0,0.05,0.0
FL.PYT.07,2025-11-13 01:15:00,1,0,5.1961552391585654e-12,0.0,0.0,0.0,0.08,15.9
FL.PYT.07,2025-11-13 01:30:00,1,0,8.147623313958003e-12,0.0,0.0,0.0,0.123333335,15.9
FL.PYT.04,2025-11-13 01:15:00,1,0,1.1460264049975285e-11,0.0,0.0,0.0,0.08,15.9
FL.PYT.01,2025-11-13 01:30:00,1,0,1.3369312858203073e-11,0.0,0.0,0.0,0.123333335,15.9
FL.RTW.04,2025-11-13 01:45:00,1,0,3.1099095651321396e-11,0.0,1.0,1.0,0.22,10.4
FL.WTN.01,2025-02-08 13:45:00,1,0,3.136271946432657e-11,0.0,0.0,0.0,0.07,0.0
FL.PYT.05,2025-11-13 01:15:00,1,0,3.7587403988216105e-11,0.0,0.0,0.0,0.08,15.9
