station_code,site_timestamp,y_ge15_1h,pred,score,fl_depth_now,rain_rf1hr_mean,rain_rf3hr_mean,water_rising_share,rain_fcst_3h
FL.BBN.01,2025-05-23 22:30:00,0,1,1.0,17.7,2.5,31.75,0.19333333,0.1
FL.PPS.01,2025-05-10 18:15:00,0,1,1.0,18.5,68.0,68.0,0.75666666,15.4
FL.LSI.02,2025-11-02 23:15:00,0,1,1.0,15.0,10.75,96.75,0.43333334,3.4
FL.LSI.02,2025-11-03 00:45:00,0,1,1.0,17.1,0.0,29.25,0.10666667,3.1
FL.LSI.02,2025-11-13 02:45:00,0,1,1.0,15.4,8.5,8.5,0.41,14.7
FL.LSI.04,2025-05-10 18:15:00,0,1,1.0,18.0,54.5,55.75,0.75666666,11.3
FL.LSI.04,2025-06-05 21:45:00,0,1,1.0,15.1,13.25,13.25,0.10333333,0.0
FL.BBN.01,2025-10-06 01:30:00,0,1,1.0,16.7,14.5,57.25,0.31333333,1.6
FL.PPS.01,2025-09-06 17:00:00,0,1,1.0,15.2,45.5,62.5,0.5233333,4.4
FL.HKG.01,2025-11-13 03:00:00,0,1,1.0,15.6,7.0,47.75,0.42666668,0.1
