,ge5_1h,ge15_1h,ge30_1h,ge5_3h,ge15_3h,ge30_3h,ge5_6h,ge15_6h,ge30_6h
fl_depth_now,560835.175868988,81473.1934299469,9851629.097076416,467251.6046600342,217739.50066566467,668896482.7446289,262321.4236602783,268761.28792762756,169030.6401269585
fl_depth_lag1h,1631.1613311767578,2473.057720184326,98683980.96716309,541.6175994873047,2722.0430183410645,2057538488.7011719,0.0,1921.527395248413,72794.5162564069
fl_depth_lag3h,4638.535659790039,8525.20672416687,1248842.5545959473,1621.8522033691406,4035.075975418091,652914.259979248,935.9869918823242,3113.3287658691406,17508.767216697335
fl_max3h,257742.77114868164,11703554.538114548,120786172927.34818,121615.16944885254,5156300.269363403,3502313.4101867676,2656.3380126953125,36862.08111953735,39484.36411948502
fl_max24h,6386127.224246979,71055.4928188324,96078985.37612915,592786.073600769,99835.4113368988,1435857.676208496,431319.86936187744,89245.63257217407,500636.1012814343
fl_mean1h,218064.90564727783,16021.958724975586,225607556.87142944,86443.28381347656,22674.040924072266,1963451151.3638916,25407.72999572754,9518.594625473022,9516.778920531273
fl_hrs_since_5cm,668185.3226776123,219048.83671188354,117976667184.29874,2832885.137779236,265347.1321296692,26677733.93045044,2141091.4991226196,2833060.504886627,6379034.105490774
rain_rf1hr_mean,416342.74028015137,13325.386581420898,121901416.19430542,30038.991912841797,20392.953578948975,27047140.104034424,17285.1775970459,11303.664100646973,29369.403320237994
rain_rf1hr_max,2234370.1548080444,122421.29789352417,20636595.616729736,821155.8366088867,63513.17980194092,1283375.1635131836,129821.39002227783,29929.67420387268,292572.32755057514
rain_rf3hr_mean,29478.943298339844,42037.542724609375,33066989.41217041,45783.176040649414,48508.34955215454,997233.9212646484,16516.97120666504,17140.76605987549,79820.93697988987
rain_rf24hr_mean,125208.30128479004,144891.83582687378,116075442.57180786,335588.17167663574,409917.35708236694,1240400.588394165,400494.8845977783,611771.6007289886,744831.9308659583
rain_rf1hr_delta1h,271608.62174606323,1865280.3277568817,439521222.8829193,213524.7879638672,1282361.7556343079,3216038.8860321045,116680.1191329956,148792.41201210022,32107.23190794885
water_rise1h_mean,256674.75736618042,194734.54191112518,4834074074.198975,125702.25063323975,223900.21672821045,3182056.955871582,34970.84175872803,30861.618354797363,52810.08657947183
water_rising_share,318630.43507385254,304326.3432073593,2688588553.4790344,120896.31916809082,94023.97703552246,975034.4140930176,135663.40830993652,70678.64958953857,61730.27096529305
water_offline_share,203035.79285049438,79367.02016830444,41574485444.904175,505470.1229248047,279019.9166908264,901764.1928100586,554953.8205337524,522092.18675613403,751888.5731198043
flow_mean,166280.15384674072,78543.93742656708,3474536822.6638184,194785.9030532837,99682.1697731018,5113080.778366089,169572.28868103027,95187.30744934082,133565.40947276354
flow_negative_share,41658.55388259888,18619.11256790161,22715713.175994873,19549.64218521118,8786.128730773926,217194.83407592773,15701.98696899414,17514.37482070923,6859.726918905973
flow_offline_share,84859.99335098267,46394.1042432785,54753889.47491455,162937.32209014893,179807.5177078247,498981.1022949219,168484.53791046143,189531.7700958252,335758.1692920774
cal_hour_sin,419762.90616989136,136676.08808135986,190747959.855484,656068.4543685913,472295.55212020874,4523424.17918396,461722.05561065674,402024.4305534363,582949.6145842373
cal_hour_cos,225636.59595870972,130154.52521800995,185116519.69854736,423650.3956604004,297774.214263916,8533934.297271729,429112.83544158936,333472.5788192749,473867.01915229857
cal_doy_sin,431856.410194397,256095.69590377808,939390564.8834839,1121765.681816101,1350246.9293670654,6265805.226882935,1246272.4807357788,1396210.6646137238,1532703.5814841688
cal_doy_cos,447562.71184921265,183540.41957759857,698458063.507721,1249375.7051010132,1171261.980129242,7977966.879516602,1547061.0951385498,1468701.968492508,1239441.293331787
cal_monsoon,82793.3500289917,581.5491962432861,94598.69744873047,455263.80573272705,10576.12474822998,1020311.1147460938,770663.9863128662,966681.0269699097,735696.8702538759
station_code,1924819.1290397644,601745.2848396301,258829.69952392578,4257670.551750183,3053617.6857452393,1026652.0620422363,4725758.823616028,6082245.84661293,2560192.2133381665
