target,station,pos,tp,fp,fn
ge5_1h,FL.BBN.01,49,27,57,22
ge5_1h,FL.BBN.02,36,19,6,17
ge5_1h,FL.BKA.02,5,5,11,0
ge5_1h,FL.BKE.01,12,5,35,7
ge5_1h,FL.BKE.02,23,9,5,14
ge5_1h,FL.BKM.01,100,58,86,42
ge5_1h,FL.BKM.02,22,17,14,5
ge5_1h,FL.BKN.01,27,17,74,10
ge5_1h,FL.BKN.02,0,0,41,0
ge5_1h,FL.BKP.01,0,0,0,0
ge5_1h,FL.BKP.02,12,2,63,10
ge5_1h,FL.BKT.01,0,0,0,0
ge5_1h,FL.BNA.01,12,4,4,8
ge5_1h,FL.BNA.02,36,32,2,4
ge5_1h,FL.BNA.03,16,16,268,0
ge5_1h,FL.BNA.04,126,82,193,44
ge5_1h,FL.BNA.05,0,0,35,0
ge5_1h,FL.BRK.01,9,2,33,7
ge5_1h,FL.BRK.02,0,0,0,0
ge5_1h,FL.BSU.01,0,0,19,0
ge5_1h,FL.CTC.01,30,23,7,7
ge5_1h,FL.CTC.02,0,0,85,0
ge5_1h,FL.CTC.03,38,27,4,11
ge5_1h,FL.CTC.04,79,55,30,24
ge5_1h,FL.CTC.05,21,15,2,6
ge5_1h,FL.CTC.06,24,12,59,12
ge5_1h,FL.CTC.07,53,39,42,14
ge5_1h,FL.DDG.01,55,29,87,26
ge5_1h,FL.DDG.02,69,45,76,24
ge5_1h,FL.DDG.03,23,9,7,14
ge5_1h,FL.DDG.04,0,0,0,0
ge5_1h,FL.DDG.05,28,16,28,12
ge5_1h,FL.DDG.06,6,4,93,2
ge5_1h,FL.DDG.07,7,4,38,3
ge5_1h,FL.DDG.08,60,38,8,22
ge5_1h,FL.DST.03,0,0,0,0
ge5_1h,FL.DST.04,0,0,0,0
ge5_1h,FL.DST.06,17,6,12,11
ge5_1h,FL.DST.07,0,0,1,0
ge5_1h,FL.DST.08,17,4,5,13
ge5_1h,FL.HKG.01,52,22,62,30
ge5_1h,FL.JTG.01,15,8,7,7
ge5_1h,FL.KSN.01,35,17,12,18
ge5_1h,FL.KTY.01,0,0,1,0
ge5_1h,FL.KTY.02,16,11,40,5
ge5_1h,FL.KTY.03,15,8,28,7
ge5_1h,FL.KTY.04,8,5,29,3
ge5_1h,FL.KTY.05,0,0,12,0
ge5_1h,FL.LSI.02,79,55,61,24
ge5_1h,FL.LSI.03,33,17,51,16
ge5_1h,FL.LSI.04,44,24,110,20
ge5_1h,FL.LSI.05,17,12,46,5
ge5_1h,FL.LSI.06,58,46,10,12
ge5_1h,FL.MBR.01,0,0,0,0
ge5_1h,FL.PKN.01,4,0,0,4
ge5_1h,FL.PNK.02,0,0,0,0
ge5_1h,FL.PPS.01,42,21,30,21
ge5_1h,FL.PPS.02,0,0,0,0
ge5_1h,FL.PTW.01,26,14,12,12
ge5_1h,FL.PTW.02,15,7,5,8
ge5_1h,FL.PTW.03,6,3,1,3
ge5_1h,FL.PTW.05,25,14,10,11
ge5_1h,FL.PWT.01,7,4,2,3
ge5_1h,FL.PWT.02,164,131,301,33
ge5_1h,FL.PYT.01,24,17,2,7
ge5_1h,FL.PYT.02,84,59,21,25
ge5_1h,FL.PYT.03,15,8,2,7
ge5_1h,FL.PYT.04,15,7,3,8
ge5_1h,FL.PYT.05,25,17,3,8
ge5_1h,FL.PYT.06,27,15,6,12
ge5_1h,FL.PYT.07,21,10,6,11
ge5_1h,FL.RTW.01,0,0,37,0
ge5_1h,FL.RTW.02,0,0,0,0
ge5_1h,FL.RTW.03,0,0,0,0
ge5_1h,FL.RTW.04,40,26,11,14
ge5_1h,FL.RTW.05,22,10,16,12
ge5_1h,FL.RTW.06,0,0,0,0
ge5_1h,FL.RTW.07,25,13,3,12
ge5_1h,FL.RTW.08,37,19,21,18
ge5_1h,FL.RTW.09,93,60,151,33
ge5_1h,FL.RTW.10,20,11,101,9
ge5_1h,FL.RTW.11,20,10,27,10
ge5_1h,FL.RTW.12,37,19,21,18
ge5_1h,FL.SLG.01,78,44,40,34
ge5_1h,FL.SLG.02,0,0,8,0
ge5_1h,FL.SLG.03,66,44,155,22
ge5_1h,FL.SMI.01,80,38,110,42
ge5_1h,FL.SPW.01,22,10,15,12
ge5_1h,FL.SPW.02,56,24,19,32
ge5_1h,FL.STN.01,26,12,8,14
ge5_1h,FL.STN.02,6,2,12,4
ge5_1h,FL.STN.03,46,28,7,18
