station,pos,tp,fp,fn,district_prefix,recall
FL.SMI.01,457,75,59,382,SMI,0.164
FL.BNA.04,340,74,36,266,BNA,0.218
FL.DDG.02,263,71,18,192,DDG,0.27
FL.BKM.01,257,66,44,191,BKM,0.257
FL.CTC.04,269,78,24,191,CTC,0.29
FL.STN.03,208,54,23,154,STN,0.26
FL.LSI.02,202,49,23,153,LSI,0.243
FL.DDG.01,172,31,30,141,DDG,0.18
FL.SLG.03,183,63,21,120,SLG,0.344
FL.RTW.08,165,48,4,117,RTW,0.291
FL.CTC.07,204,87,12,117,CTC,0.426
FL.CTC.03,186,72,9,114,CTC,0.387
FL.RTW.09,150,36,39,114,RTW,0.24
FL.RTW.05,83,3,6,80,RTW,0.036
FL.BBN.01,101,23,9,78,BBN,0.228
FL.STN.01,95,18,7,77,STN,0.189
FL.PPS.01,77,0,8,77,PPS,0.0
FL.PYT.02,122,45,11,77,PYT,0.369
FL.BKM.02,95,18,9,77,BKM,0.189
FL.PYT.07,83,6,7,77,PYT,0.072
FL.PYT.01,104,27,9,77,PYT,0.26
FL.PYT.06,110,34,4,76,PYT,0.309
FL.BBN.02,107,33,8,74,BBN,0.308
FL.CTC.05,104,30,3,74,CTC,0.288
FL.PYT.05,104,30,7,74,PYT,0.288
FL.RTW.07,80,6,19,74,RTW,0.075
FL.RTW.11,80,7,10,73,RTW,0.088
FL.CTC.01,110,39,12,71,CTC,0.355
FL.HKG.01,83,12,13,71,HKG,0.145
FL.PWT.02,116,51,77,65,PWT,0.44
FL.PTW.05,70,30,5,40,PTW,0.429
FL.DDG.07,46,6,3,40,DDG,0.13
FL.RTW.10,52,12,10,40,RTW,0.231
FL.BKE.02,46,6,9,40,BKE,0.13
FL.PYT.04,46,6,4,40,PYT,0.13
FL.DDG.05,52,13,5,39,DDG,0.25
FL.JTG.01,52,13,0,39,JTG,0.25
FL.RTW.12,46,8,9,38,RTW,0.174
FL.WTL.04,58,21,6,37,WTL,0.362
FL.PTW.02,52,15,2,37,PTW,0.288
FL.PTW.01,58,21,1,37,PTW,0.362
FL.KTY.02,40,3,5,37,KTY,0.075
FL.RTW.04,49,12,3,37,RTW,0.245
FL.LSI.04,43,6,45,37,LSI,0.14
FL.DDG.03,46,9,3,37,DDG,0.196
FL.BKN.01,40,3,4,37,BKN,0.075
FL.BNA.03,67,31,7,36,BNA,0.463
FL.KTY.03,43,9,0,34,KTY,0.209
FL.WTN.01,10,0,5,10,WTN,0.0
FL.SLG.02,0,0,3,0,SLG,
FL.BRK.02,0,0,0,0,BRK,
FL.BRK.01,0,0,5,0,BRK,
FL.RTW.06,0,0,0,0,RTW,
FL.BNA.05,0,0,0,0,BNA,
FL.BNA.02,0,0,18,0,BNA,
FL.BNA.01,0,0,0,0,BNA,
FL.BKT.01,0,0,0,0,BKT,
FL.BKP.02,0,0,0,0,BKP,
FL.SLG.01,0,0,16,0,SLG,
FL.KTY.01,0,0,0,0,KTY,
FL.BKP.01,0,0,0,0,BKP,
FL.RTW.03,0,0,0,0,RTW,
FL.SPW.01,0,0,13,0,SPW,
FL.SPW.02,0,0,0,0,SPW,
FL.STN.02,0,0,2,0,STN,
FL.BKE.01,0,0,5,0,BKE,
FL.STN.04,0,0,0,0,STN,
FL.WTL.01,0,0,3,0,WTL,
FL.WTL.02,0,0,2,0,WTL,
FL.WTL.03,0,0,0,0,WTL,
FL.BKA.02,0,0,0,0,BKA,
FL.WTN.02,0,0,0,0,WTN,
FL.BKN.02,0,0,0,0,BKN,
FL.RTW.02,0,0,0,0,RTW,
FL.RTW.01,0,0,1,0,RTW,
FL.BSU.01,0,0,0,0,BSU,
FL.KTY.04,0,0,2,0,KTY,
FL.KTY.05,0,0,0,0,KTY,
FL.KSN.01,0,0,0,0,KSN,
FL.LSI.03,0,0,16,0,LSI,
FL.DST.08,0,0,0,0,DST,
FL.LSI.05,0,0,3,0,LSI,
FL.LSI.06,0,0,8,0,LSI,
FL.MBR.01,0,0,0,0,MBR,
FL.PKN.01,0,0,0,0,PKN,
FL.PNK.02,0,0,0,0,PNK,
FL.DST.07,0,0,0,0,DST,
FL.PPS.02,0,0,0,0,PPS,
FL.DST.06,0,0,0,0,DST,
FL.DST.04,0,0,0,0,DST,
FL.PTW.03,0,0,0,0,PTW,
FL.DST.03,0,0,0,0,DST,
FL.PWT.01,0,0,0,0,PWT,
FL.DDG.08,0,0,10,0,DDG,
FL.DDG.06,0,0,0,0,DDG,
FL.DDG.04,0,0,0,0,DDG,
FL.PYT.03,0,0,1,0,PYT,
FL.CTC.06,0,0,0,0,CTC,
FL.CTC.02,0,0,0,0,CTC,
FL.WTN.03,0,0,0,0,WTN,
